Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend
3759.15,175.20,80.36,-0.1456
3760.163,175.25,78.99,-0.3891
3761.175,175.30,81.49,0.0529
3762.188,175.35,78.31,-0.5111
3763.2,175.40,68.76,-2.2032
3764.213,175.45,78.33,-0.5091
3765.226,175.50,80.68,-0.0937
3766.239,175.55,80.35,-0.1529
3767.251,175.60,78.84,-0.4211
3768.264,175.65,79.86,-0.2413
3769.277,175.70,80.40,-0.1464
3770.289,175.75,80.18,-0.1862
3771.302,175.80,80.01,-0.2171
3772.315,175.85,80.22,-0.1806
3773.327,175.90,79.95,-0.2293
3774.34,175.95,79.61,-0.2903
3775.353,176.00,80.22,-0.1830
3776.365,176.05,80.30,-0.1696
3777.378,176.10,78.56,-0.4786
3778.391,176.15,79.57,-0.3005
3779.404,176.20,73.93,-1.3001
3780.416,176.25,80.31,-0.1710
3781.429,176.30,80.22,-0.1877
3782.442,176.35,79.90,-0.2452
3783.454,176.40,79.89,-0.2477
3784.467,176.45,79.94,-0.2397
3785.48,176.50,79.18,-0.3750
3786.492,176.55,80.47,-0.1474
3787.505,176.60,80.59,-0.1269
3788.518,176.65,82.25,0.1663
3789.53,176.70,83.42,0.3727
3790.543,176.75,84.11,0.4941
3791.556,176.80,83.52,0.3889
3792.569,176.85,82.61,0.2269
3793.581,176.90,83.50,0.3838
3794.594,176.95,84.51,0.5618
3795.606,177.00,84.53,0.5646
3796.619,177.05,83.77,0.4292
3797.632,177.10,84.33,0.5276
3798.645,177.15,85.19,0.6791
3799.657,177.20,84.58,0.5703
3800.67,177.25,84.82,0.6120
3801.683,177.30,84.53,0.5599
3802.696,177.35,84.25,0.5095
3803.708,177.40,83.66,0.4042
3804.721,177.45,83.14,0.3114
3805.733,177.50,82.77,0.2450
3806.746,177.55,82.48,0.1929
3807.759,177.60,82.78,0.2452
3808.771,177.65,81.81,0.0727
3809.784,177.70,79.61,-0.3177
3810.797,177.75,82.54,0.2004
3811.81,177.80,83.19,0.3147
3812.822,177.85,83.13,0.3033
3813.835,177.90,82.74,0.2335
3814.847,177.95,81.98,0.0981
3815.86,178.00,81.25,-0.0320
3816.873,178.05,83.17,0.3073
3817.886,178.10,82.93,0.2640
3818.898,178.15,82.07,0.1109
3819.911,178.20,76.41,-0.8923
3820.924,178.25,80.44,-0.1794
3821.937,178.30,80.68,-0.1377
3822.949,178.35,80.40,-0.1880
3823.962,178.40,80.90,-0.1003
3824.974,178.45,80.22,-0.2215
3825.987,178.50,79.67,-0.3197
3827,178.55,79.81,-0.2957
3828.013,178.60,80.76,-0.1282
3829.025,178.65,81.42,-0.0121
3830.038,178.70,81.79,0.0526
3831.051,178.75,82.79,0.2290
3832.063,178.80,83.11,0.2848
3833.076,178.85,83.21,0.3018
3834.088,178.90,82.91,0.2479
3835.101,178.95,83.33,0.3215
3836.114,179.00,82.79,0.2250
3837.127,179.05,83.68,0.3819
3838.139,179.10,83.26,0.3067
3839.152,179.15,79.56,-0.3494
3840.165,179.20,82.02,0.0855
3841.177,179.25,83.57,0.3592
3842.19,179.30,81.50,-0.0081
3843.203,179.35,82.91,0.2408
3844.215,179.40,81.30,-0.0451
3845.228,179.45,82.96,0.2481
3846.241,179.50,81.38,-0.0325
3847.254,179.55,82.40,0.1473
3848.266,179.60,81.87,0.0527
3849.279,179.65,83.18,0.2839
3850.292,179.70,82.31,0.1290
3851.304,179.75,82.45,0.1530
3852.317,179.80,82.70,0.1965
3853.33,179.85,83.00,0.2489
3854.342,179.90,83.38,0.3154
3855.355,179.95,82.83,0.2172
3856.368,180.00,81.04,-0.1006
3857.38,180.05,80.61,-0.1775
3858.393,180.10,81.01,-0.1075
3859.406,180.15,81.81,0.0334
3860.418,180.20,82.20,0.1017
3861.431,180.25,80.88,-0.1329
3862.444,180.30,80.99,-0.1142
3863.457,180.35,81.14,-0.0884
3864.469,180.40,81.16,-0.0856
3865.482,180.45,81.93,0.0500
3866.495,180.50,82.76,0.1962
3867.507,180.55,83.09,0.2538
3868.52,180.60,83.87,0.3912
3869.532,180.65,77.98,-0.6527
3870.545,180.70,82.81,0.2019
3871.558,180.75,83.09,0.2507
3872.571,180.80,82.76,0.1915
3873.583,180.85,81.11,-0.1015
3874.596,180.90,82.73,0.1846
3875.609,180.95,81.81,0.0209
3876.621,181.00,81.23,-0.0826
3877.634,181.05,80.72,-0.1738
3878.647,181.10,80.25,-0.2578
3879.659,181.15,80.95,-0.1346
3880.672,181.20,80.49,-0.2168
3881.685,181.25,80.35,-0.2424
3882.698,181.30,79.44,-0.4044
3883.71,181.35,78.25,-0.6159
3884.723,181.40,79.00,-0.4839
3885.736,181.45,78.89,-0.5041
3886.748,181.50,79.23,-0.4447
3887.761,181.55,82.59,0.1496
3888.774,181.60,82.79,0.1842
3889.786,181.65,83.41,0.2932
3890.799,181.70,84.03,0.4022
3891.812,181.75,83.85,0.3696
3892.824,181.80,83.30,0.2714
3893.837,181.85,84.42,0.4690
3894.85,181.90,84.31,0.4487
3895.862,181.95,84.28,0.4426
3896.875,182.00,82.60,0.1443
3897.888,182.05,82.34,0.0974
3898.901,182.10,83.93,0.3783
3899.913,182.15,71.13,-1.8894
3900.926,182.20,81.80,-0.0005
3901.938,182.25,82.66,0.1510
3902.951,182.30,84.87,0.5416
3903.964,182.35,84.79,0.5266
3904.977,182.40,83.95,0.3771
3905.989,182.45,83.71,0.3338
3907.002,182.50,83.42,0.2817
3908.015,182.55,83.10,0.2242
3909.028,182.60,83.13,0.2287
3910.04,182.65,82.58,0.1305
3911.053,182.70,82.60,0.1333
3912.065,182.75,82.85,0.1768
3913.078,182.80,81.91,0.0095
3914.091,182.85,80.04,-0.3224
3915.104,182.90,81.85,-0.0027
3916.116,182.95,82.75,0.1559
3917.129,183.00,83.72,0.3269
3918.142,183.05,83.66,0.3155
3919.154,183.10,82.94,0.1872
3920.167,183.15,83.30,0.2502
3921.18,183.20,82.08,0.0333
3922.192,183.25,82.97,0.1902
3923.205,183.30,82.26,0.0637
3924.218,183.35,81.90,-0.0009
3925.23,183.40,81.52,-0.0690
3926.243,183.45,82.43,0.0914
3927.256,183.50,82.81,0.1579
3928.269,183.55,82.55,0.1111
3929.281,183.60,82.61,0.1209
3930.294,183.65,80.61,-0.2341
3931.306,183.70,79.29,-0.4686
3932.319,183.75,82.16,0.0389
3933.332,183.80,81.62,-0.0575
3934.345,183.85,82.03,0.0143
3935.357,183.90,81.56,-0.0697
3936.37,183.95,81.24,-0.1272
3937.383,184.00,79.79,-0.3848
3938.395,184.05,82.49,0.0926
3939.408,184.10,82.70,0.1290
3940.42,184.15,82.90,0.1636
3941.433,184.20,82.97,0.1753
3942.446,184.25,83.01,0.1816
3943.459,184.30,83.04,0.1861
3944.472,184.35,83.71,0.3040
3945.484,184.40,83.27,0.2253
3946.497,184.45,82.05,0.0084
3947.51,184.50,82.65,0.1139
3948.522,184.55,82.40,0.0688
3949.535,184.60,81.76,-0.0453
3950.547,184.65,81.74,-0.0496
3951.56,184.70,82.09,0.0116
3952.573,184.75,81.83,-0.0353
3953.586,184.80,80.79,-0.2202
3954.598,184.85,81.26,-0.1378
3955.611,184.90,81.64,-0.0713
3956.624,184.95,81.60,-0.0791
3957.636,185.00,81.24,-0.1437
3958.649,185.05,81.45,-0.1073
3959.662,185.10,82.91,0.1505
3960.674,185.15,82.47,0.0718
3961.687,185.20,82.05,-0.0034
3962.7,185.25,83.57,0.2650
3963.712,185.30,83.80,0.3050
3964.725,185.35,84.10,0.3573
3965.738,185.40,84.43,0.4150
3966.75,185.45,84.20,0.3735
3967.763,185.50,84.02,0.3408
3968.776,185.55,82.46,0.0637
3969.789,185.60,82.55,0.0789
3970.801,185.65,82.43,0.0569
3971.814,185.70,82.73,0.1092
3972.827,185.75,82.00,-0.0209
3973.839,185.80,81.82,-0.0535
3974.852,185.85,83.87,0.3087
3975.865,185.90,84.42,0.4054
3976.877,185.95,80.16,-0.3499
3977.89,186.00,81.40,-0.1311
3978.903,186.05,82.68,0.0949
3979.916,186.10,81.63,-0.0919
3980.928,186.15,83.01,0.1517
3981.941,186.20,84.08,0.3404
3982.954,186.25,84.86,0.4778
3983.966,186.30,83.37,0.2131
3984.979,186.35,84.09,0.3399
3985.991,186.40,84.00,0.3231
3987.004,186.45,83.58,0.2480
3988.017,186.50,83.56,0.2436
3989.03,186.55,83.29,0.1950
3990.042,186.60,82.88,0.1216
3991.055,186.65,82.87,0.1191
3992.068,186.70,82.97,0.1360
3993.08,186.75,82.88,0.1193
3994.093,186.80,82.40,0.0335
3995.106,186.85,82.44,0.0398
3996.118,186.90,82.64,0.0744
3997.131,186.95,82.64,0.0736
3998.144,187.00,82.89,0.1171
3999.156,187.05,82.98,0.1323
4000.169,187.10,83.26,0.1811
4001.182,187.15,81.35,-0.1580
4002.194,187.20,83.66,0.2504
4003.207,187.25,79.55,-0.4783
4004.22,187.30,84.20,0.3444
4005.233,187.35,85.57,0.5863
4006.245,187.40,84.69,0.4296
4007.258,187.45,86.14,0.6856
4008.271,187.50,85.50,0.5715
4009.283,187.55,85.22,0.5211
4010.296,187.60,84.47,0.3875
4011.309,187.65,82.57,0.0502
4012.321,187.70,83.73,0.2549
4013.334,187.75,81.74,-0.0983
4014.347,187.80,83.79,0.2640
4015.36,187.85,84.59,0.4048
4016.372,187.90,84.42,0.3740
4017.385,187.95,84.82,0.4440
4018.397,188.00,84.84,0.4468
4019.41,188.05,85.43,0.5505
4020.423,188.10,84.95,0.4647
4021.436,188.15,85.02,0.4763
4022.448,188.20,84.53,0.3887
4023.461,188.25,83.76,0.2516
4024.474,188.30,82.47,0.0223
4025.486,188.35,82.04,-0.0546
4026.499,188.40,81.05,-0.2307
4027.512,188.45,80.85,-0.2669
4028.524,188.50,80.23,-0.3775
4029.537,188.55,79.84,-0.4474
4030.55,188.60,75.94,-1.1388
4031.562,188.65,78.84,-0.6260
4032.575,188.70,79.46,-0.5170
4033.588,188.75,79.46,-0.5178
4034.601,188.80,80.41,-0.3503
4035.613,188.85,80.81,-0.2803
4036.626,188.90,81.33,-0.1890
4037.638,188.95,82.78,0.0670
4038.651,189.00,78.31,-0.7254
4039.664,189.05,73.62,-1.5568
4040.677,189.10,84.28,0.3303
4041.689,189.15,84.30,0.3331
4042.702,189.20,84.41,0.3518
4043.715,189.25,83.83,0.2483
4044.728,189.30,84.48,0.3626
4045.74,189.35,84.58,0.3795
4046.752,189.40,84.07,0.2884
4047.765,189.45,84.56,0.3744
4048.778,189.50,84.07,0.2868
4049.791,189.55,83.62,0.2064
4050.804,189.60,84.97,0.4447
4051.816,189.65,85.54,0.5448
4052.829,189.70,84.95,0.4396
4053.842,189.75,85.37,0.5132
4054.854,189.80,85.45,0.5265
4055.867,189.85,85.24,0.4886
4056.879,189.90,85.28,0.4949
4057.892,189.95,85.78,0.5826
4058.905,190.00,85.17,0.4738
4059.918,190.05,85.46,0.5244
4060.93,190.10,84.53,0.3589
4061.943,190.15,82.66,0.0269
4062.956,190.20,84.03,0.2688
4063.968,190.25,83.98,0.2591
4064.981,190.30,84.08,0.2761
4065.994,190.35,79.55,-0.5270
4067.006,190.40,84.20,0.2957
4068.019,190.45,81.45,-0.1921
4069.032,190.50,81.46,-0.1911
4070.044,190.55,81.55,-0.1759
4071.057,190.60,84.31,0.3121
4072.07,190.65,84.74,0.3874
4073.083,190.70,83.36,0.1423
4074.095,190.75,83.93,0.2424
4075.108,190.80,84.18,0.2859
4076.121,190.85,84.91,0.4144
4077.133,190.90,85.00,0.4296
4078.146,190.95,84.75,0.3845
4079.159,191.00,82.72,0.0242
4080.171,191.05,84.00,0.2501
4081.184,191.10,83.82,0.2174
4082.197,191.15,83.09,0.0874
4083.209,191.20,83.14,0.0955
4084.222,191.25,83.33,0.1283
4085.235,191.30,83.38,0.1364
4086.248,191.35,83.28,0.1179
4087.26,191.40,83.52,0.1596
4088.273,191.45,82.35,-0.0484
4089.286,191.50,82.65,0.0040
4090.298,191.55,83.07,0.0776
4091.311,191.60,82.20,-0.0773
4092.323,191.65,79.26,-0.5988
4093.336,191.70,82.25,-0.0700
4094.349,191.75,80.90,-0.3099
4095.362,191.80,83.24,0.1037
4096.375,191.85,82.21,-0.0795
4097.387,191.90,83.44,0.1376
4098.399,191.95,83.58,0.1616
4099.413,192.00,82.87,0.0351
4100.425,192.05,81.39,-0.2278
4101.438,192.10,82.22,-0.0816
4102.45,192.15,81.95,-0.1302
4103.463,192.20,82.18,-0.0903
4104.476,192.25,82.38,-0.0556
4105.489,192.30,82.36,-0.0600
4106.501,192.35,83.71,0.1783
4107.514,192.40,84.32,0.2856
4108.526,192.45,82.70,-0.0021
4109.539,192.50,86.39,0.6506
4110.552,192.55,86.51,0.6711
4111.565,192.60,86.28,0.6296
4112.577,192.65,86.20,0.6146
4113.59,192.70,85.51,0.4916
4114.603,192.75,84.70,0.3474
4115.615,192.80,83.83,0.1925
4116.628,192.85,83.52,0.1368
4117.641,192.90,84.24,0.2636
4118.653,192.95,84.34,0.2805
4119.666,193.00,83.00,0.0424
4120.679,193.05,83.59,0.1461
4121.691,193.10,82.17,-0.1062
4122.704,193.15,78.52,-0.7534
4123.717,193.20,82.20,-0.1024
4124.729,193.25,83.96,0.2085
4125.742,193.30,84.50,0.3033
4126.755,193.35,85.90,0.5505
4127.768,193.40,84.82,0.3584
4128.78,193.45,85.59,0.4940
4129.793,193.50,85.58,0.4915
4130.806,193.55,82.43,-0.0672
4131.818,193.60,84.13,0.2331
4132.831,193.65,85.27,0.4342
4133.844,193.70,84.82,0.3537
4134.856,193.75,84.47,0.2910
4135.869,193.80,83.72,0.1573
4136.882,193.85,83.82,0.1743
4137.895,193.90,83.87,0.1823
4138.907,193.95,82.93,0.0151
4139.92,194.00,82.71,-0.0247
4140.933,194.05,82.40,-0.0804
4141.945,194.10,82.37,-0.0865
4142.958,194.15,82.28,-0.1032
4143.971,194.20,83.09,0.0395
4144.983,194.25,82.97,0.0175
4145.996,194.30,82.58,-0.0524
4147.009,194.35,82.97,0.0159
4148.021,194.40,83.00,0.0204
4149.034,194.45,83.23,0.0604
4150.047,194.50,84.63,0.3075
4151.06,194.55,85.24,0.4148
4152.072,194.60,71.26,-2.0619
4153.084,194.65,82.22,-0.1217
4154.098,194.70,86.18,0.5789
4155.11,194.75,86.47,0.6295
4156.123,194.80,86.56,0.6446
4157.136,194.85,86.21,0.5818
4158.148,194.90,86.51,0.6342
4159.161,194.95,86.03,0.5484
4160.174,195.00,85.33,0.4236
4161.187,195.05,85.14,0.3892
4162.199,195.10,84.11,0.2060
4163.211,195.15,84.16,0.2141
4164.224,195.20,84.35,0.2469
4165.237,195.25,85.02,0.3648
4166.25,195.30,84.85,0.3339
4167.263,195.35,84.97,0.3544
4168.275,195.40,83.68,0.1251
4169.288,195.45,85.71,0.4839
4170.3,195.50,85.14,0.3821
4171.313,195.55,85.10,0.3743
4172.326,195.60,84.94,0.3451
4173.338,195.65,84.55,0.2753
4174.351,195.70,84.75,0.3099
4175.364,195.75,84.11,0.1958
4176.376,195.80,83.92,0.1614
4177.389,195.85,84.06,0.1854
4178.402,195.90,83.52,0.0889
4179.415,195.95,82.74,-0.0500
4180.427,196.00,84.82,0.3176
4181.44,196.05,85.35,0.4107
4182.453,196.10,85.68,0.4683
4183.465,196.15,82.27,-0.1364
4184.478,196.20,85.08,0.3605
4185.491,196.25,84.43,0.2446
4186.503,196.30,84.16,0.1960
4187.516,196.35,83.81,0.1332
4188.529,196.40,84.08,0.1803
4189.542,196.45,82.87,-0.0348
4190.554,196.50,83.84,0.1362
4191.567,196.55,83.23,0.0274
4192.58,196.60,80.95,-0.3772
4193.592,196.65,82.76,-0.0574
4194.605,196.70,82.55,-0.0954
4195.618,196.75,82.64,-0.0802
4196.63,196.80,83.48,0.0677
4197.643,196.85,84.22,0.1980
4198.655,196.90,82.61,-0.0879
4199.668,196.95,78.49,-0.8184
4200.681,197.00,84.63,0.2683
4201.694,197.05,83.47,0.0620
4202.707,197.10,84.41,0.2277
4203.719,197.15,84.10,0.1720
4204.731,197.20,82.60,-0.0944
4205.745,197.25,85.35,0.3918
4206.757,197.30,84.62,0.2618
4207.77,197.35,84.75,0.2840
4208.782,197.40,84.00,0.1504
4209.795,197.45,83.96,0.1425
4210.808,197.50,84.35,0.2108
4211.821,197.55,82.45,-0.1265
4212.833,197.60,83.25,0.0144
4213.846,197.65,81.34,-0.3246
4214.858,197.70,84.23,0.1864
4215.871,197.75,82.78,-0.0712
4216.884,197.80,79.67,-0.6227
4217.897,197.85,80.90,-0.4057
4218.909,197.90,84.74,0.2736
4219.922,197.95,82.80,-0.0708
4220.935,198.00,79.96,-0.5745
4221.947,198.05,80.29,-0.5168
4222.96,198.10,81.09,-0.3760
4223.973,198.15,78.92,-0.7610
4224.985,198.20,80.63,-0.4590
4225.998,198.25,80.04,-0.5643
4227.011,198.30,80.48,-0.4871
4228.023,198.35,80.29,-0.5216
4229.036,198.40,80.92,-0.4108
4230.049,198.45,81.60,-0.2911
4231.062,198.50,79.51,-0.6621
4232.074,198.55,81.21,-0.3618
4233.087,198.60,82.08,-0.2085
4234.1,198.65,83.54,0.0493
4235.112,198.70,81.50,-0.3128
4236.125,198.75,85.21,0.3435
4237.138,198.80,85.09,0.3215
4238.15,198.85,84.93,0.2923
4239.163,198.90,86.43,0.5572
4240.176,198.95,85.77,0.4395
4241.188,199.00,84.27,0.1731
4242.201,199.05,84.63,0.2361
4243.214,199.10,75.08,-1.4560
4244.227,199.15,83.24,-0.0117
4245.239,199.20,84.79,0.2620
4246.252,199.25,85.08,0.3126
4247.265,199.30,85.34,0.3579
4248.277,199.35,84.92,0.2827
4249.29,199.40,85.51,0.3864
4250.303,199.45,85.04,0.3024
4251.315,199.50,84.45,0.1971
4252.328,199.55,84.15,0.1432
4253.341,199.60,81.98,-0.2419
4254.354,199.65,79.49,-0.6837
4255.366,199.70,84.06,0.1249
4256.379,199.75,83.56,0.0356
4257.392,199.80,83.52,0.0277
4258.404,199.85,83.48,0.0198
4259.417,199.90,84.24,0.1536
4260.43,199.95,84.61,0.2184
4261.442,200.00,84.73,0.2389
