Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend
3177.322,148.95,77.94,-0.1231
3178.643,149.00,78.42,-0.0392
3179.965,149.05,79.51,0.1529
3181.287,149.10,79.38,0.1288
3182.608,149.15,79.80,0.2022
3183.93,149.20,80.57,0.3375
3185.251,149.25,80.90,0.3949
3186.573,149.30,80.30,0.2876
3187.895,149.35,78.63,-0.0091
3189.216,149.40,81.39,0.4786
3190.538,149.45,81.89,0.5662
3191.859,149.50,81.69,0.5297
3193.181,149.55,81.41,0.4791
3194.502,149.60,79.23,0.0920
3195.824,149.65,80.92,0.3903
3197.146,149.70,83.05,0.7665
3198.467,149.75,82.75,0.7123
3199.789,149.80,82.93,0.7432
3201.11,149.85,82.52,0.6695
3202.432,149.90,82.62,0.6862
3203.753,149.95,82.95,0.7436
3205.075,150.00,82.15,0.6009
3206.397,150.05,82.42,0.6477
3207.718,150.10,81.78,0.5334
3209.04,150.15,80.00,0.2171
3210.361,150.20,82.39,0.6393
3211.683,150.25,82.76,0.7038
3213.005,150.30,82.12,0.5895
3214.326,150.35,82.09,0.5831
3215.647,150.40,82.31,0.6211
3216.969,150.45,81.96,0.5581
3218.291,150.50,81.31,0.4419
3219.613,150.55,81.91,0.5472
3220.934,150.60,82.04,0.5692
3222.255,150.65,82.05,0.5699
3223.577,150.70,80.92,0.3688
3224.899,150.75,80.25,0.2491
3226.22,150.80,79.15,0.0532
3227.542,150.85,80.70,0.3267
3228.863,150.90,80.59,0.3062
3230.185,150.95,74.82,-0.7167
3231.507,151.00,81.57,0.4777
3232.828,151.05,80.69,0.3208
3234.15,151.10,81.66,0.4916
3235.471,151.15,80.55,0.2940
3236.793,151.20,80.53,0.2894
3238.115,151.25,82.79,0.6887
3239.436,151.30,82.66,0.6646
3240.758,151.35,82.11,0.5662
3242.079,151.40,83.16,0.7511
3243.401,151.45,82.40,0.6155
3244.722,151.50,81.09,0.3825
3246.044,151.55,81.87,0.5196
3247.366,151.60,81.89,0.5221
3248.687,151.65,81.07,0.3759
3250.009,151.70,79.84,0.1570
3251.33,151.75,79.28,0.0568
3252.652,151.80,78.34,-0.1107
3253.974,151.85,79.02,0.0087
3255.295,151.90,78.25,-0.1287
3256.617,151.95,77.98,-0.1775
3257.938,152.00,77.81,-0.2087
3259.26,152.05,76.85,-0.3797
3260.582,152.10,78.56,-0.0779
3261.903,152.15,80.03,0.1814
3263.225,152.20,80.33,0.2335
3264.546,152.25,80.97,0.3458
3265.868,152.30,80.93,0.3377
3267.19,152.35,81.80,0.4908
3268.511,152.40,81.40,0.4189
3269.833,152.45,81.41,0.4197
3271.154,152.50,80.22,0.2079
3272.476,152.55,82.32,0.5788
3273.798,152.60,81.77,0.4804
3275.119,152.65,80.50,0.2544
3276.44,152.70,81.35,0.4039
3277.762,152.75,80.13,0.1868
3279.084,152.80,79.66,0.1026
3280.406,152.85,80.00,0.1618
3281.727,152.90,79.61,0.0917
3283.048,152.95,77.89,-0.2140
3284.37,153.00,77.96,-0.2026
3285.692,153.05,76.58,-0.4480
3287.013,153.10,75.84,-0.5801
3288.334,153.15,73.65,-0.9690
3289.656,153.20,67.98,-1.9742
3290.978,153.25,73.47,-1.0029
3292.3,153.30,71.71,-1.3156
3293.621,153.35,72.86,-1.1130
3294.943,153.40,72.82,-1.1211
3296.213,153.45,70.89,-1.4639
3297.281,153.50,70.50,-1.5338
3298.35,153.55,73.45,-1.0122
3299.417,153.60,71.66,-1.3300
3300.485,153.65,73.17,-1.0634
3301.553,153.70,72.79,-1.1315
3302.621,153.75,73.87,-0.9411
3303.689,153.80,74.77,-0.7825
3304.757,153.85,73.66,-0.9799
3305.825,153.90,75.23,-0.7027
3306.893,153.95,74.99,-0.7460
3307.961,154.00,75.47,-0.6619
3309.029,154.05,73.68,-0.9797
3310.097,154.10,76.64,-0.4563
3311.165,154.15,76.70,-0.4465
3312.233,154.20,77.27,-0.3464
3313.301,154.25,77.07,-0.3826
3314.369,154.30,78.36,-0.1550
3315.437,154.35,78.53,-0.1257
3316.505,154.40,79.46,0.0381
3317.573,154.45,79.99,0.1312
3318.641,154.50,79.66,0.0719
3319.709,154.55,80.93,0.2960
3320.777,154.60,81.29,0.3589
3321.844,154.65,81.94,0.4732
3322.913,154.70,82.09,0.4989
3323.98,154.75,82.15,0.5087
3325.049,154.80,81.91,0.4654
3326.117,154.85,82.50,0.5691
3327.184,154.90,80.99,0.3008
3328.252,154.95,81.49,0.3885
3329.32,155.00,83.59,0.7596
3330.388,155.05,81.83,0.4471
3331.457,155.10,81.39,0.3684
3332.524,155.15,83.55,0.7501
3333.592,155.20,83.71,0.7776
3334.66,155.25,83.39,0.7201
3335.728,155.30,80.38,0.1862
3336.796,155.35,80.11,0.1375
3337.864,155.40,82.52,0.5635
3338.932,155.45,82.65,0.5857
3340,155.50,81.31,0.3476
3342.041,155.55,79.73,0.0662
3344.082,155.60,75.92,-0.6102
3346.122,155.65,79.39,0.0028
3348.163,155.70,81.82,0.4316
3350.204,155.75,82.29,0.5132
3352.245,155.80,80.90,0.2655
3354.286,155.85,80.07,0.1169
3356.326,155.90,80.72,0.2304
3358.367,155.95,81.13,0.3014
3360.408,156.00,81.34,0.3371
3362.449,156.05,80.84,0.2469
3364.49,156.10,81.46,0.3551
3366.531,156.15,81.32,0.3288
3368.572,156.20,80.24,0.1359
3370.612,156.25,80.78,0.2300
3372.653,156.30,80.28,0.1398
3374.694,156.35,79.68,0.0320
3376.735,156.40,80.55,0.1845
3378.776,156.45,80.39,0.1546
3380.405,156.50,79.04,-0.0858
3381.418,156.55,76.34,-0.5647
3382.431,156.60,72.82,-1.1889
3383.443,156.65,76.01,-0.6248
3384.456,156.70,78.16,-0.2448
3385.469,156.75,80.67,0.1990
3386.481,156.80,81.44,0.3345
3387.494,156.85,82.77,0.5693
3388.507,156.90,81.25,0.2993
3389.519,156.95,84.00,0.7856
3390.532,157.00,84.16,0.8131
3391.545,157.05,84.09,0.7999
3392.558,157.10,84.11,0.8027
3393.57,157.15,82.34,0.4884
3394.583,157.20,82.60,0.5337
