Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend
794,,4.735,-2.0573
796,,4.667,-1.8585
798,,4.68,-1.8987
800,,4.676,-1.8887
802,,4.729,-2.0470
804,,4.572,-1.5855
806,,4.511,-1.4074
808,,4.488,-1.3413
810,,4.308,-0.8120
812,,4.384,-1.0381
814,,4.124,-0.2728
816,,4.128,-0.2864
818,,3.867,0.4819
820,,3.957,0.2145
822,,3.9,0.3808
824,,3.933,0.2816
826,,4.104,-0.2248
828,,3.934,0.2750
830,,4.054,-0.0809
832,,4.074,-0.1418
834,,3.954,0.2105
836,,3.815,0.6188
838,,3.988,0.1065
840,,4.001,0.0663
842,,3.82,0.5985
844,,3.674,1.0275
846,,3.576,1.3148
848,,3.654,1.0828
850,,3.499,1.5384
852,,3.633,1.1411
854,,3.629,1.1511
856,,3.455,1.6627
858,,3.435,1.7199
860,,3.451,1.6708
862,,3.684,0.9815
864,,3.577,1.2954
866,,4.055,-0.1169
868,,4.315,-0.8859
870,,4.5,-1.4337
872,,4.684,-1.9784
874,,4.682,-1.9744
876,,4.695,-2.0146
878,,4.59,-1.7066
880,,4.679,-1.9710
882,,4.42,-1.2086
884,,4.47,-1.3580
886,,4.503,-1.4572
888,,4.444,-1.2850
890,,4.393,-1.1363
892,,4.306,-0.8814
894,,4.461,-1.3406
896,,4.385,-1.1182
898,,4.311,-0.9017
900,,4.315,-0.9153
902,,4.182,-0.5247
904,,4.125,-0.3584
906,,4.12,-0.3454
908,,3.998,0.0127
910,,3.982,0.0581
912,,4.085,-0.2477
914,,4.012,-0.0341
916,,4.064,-0.1894
918,,4.374,-1.1059
920,,4.51,-1.5091
922,,4.551,-1.6319
924,,4.477,-1.4154
926,,4.345,-1.0277
928,,4.264,-0.7905
930,,4.099,-0.3055
932,,4.074,-0.2336
934,,3.982,0.0361
936,,4.041,-0.1399
938,,3.858,0.3983
940,,3.886,0.3138
942,,3.695,0.8756
944,,3.566,1.2544
946,,3.611,1.1198
948,,3.485,1.4897
950,,3.439,1.6236
952,,3.298,2.0378
954,,3.393,1.7557
956,,3.327,1.9486
958,,3.734,0.7458
960,,4.156,-0.5012
962,,4.423,-1.2909
964,,4.584,-1.7678
966,,4.303,-0.9405
968,,4.208,-0.6620
970,,4.094,-0.3275
972,,3.984,-0.0047
974,,3.872,0.3239
976,,3.773,0.6142
978,,3.746,0.6920
980,,3.734,0.7256
982,,3.992,-0.0375
984,,4.165,-0.5498
986,,4.205,-0.6697
988,,4.239,-0.7719
990,,4.081,-0.3075
992,,4.059,-0.2444
994,,3.957,0.0547
996,,3.82,0.4571
998,,3.838,0.4022
1000,,3.935,0.1141
1002,,4.145,-0.5073
1004,,4.284,-0.9193
1006,,4.242,-0.7972
1008,,4.222,-0.7401
1010,,4.099,-0.3790
1012,,4.134,-0.4841
1014,,3.99,-0.0610
1016,,3.725,0.7191
1018,,3.783,0.5461
1020,,3.807,0.4735
1022,,3.555,1.2152
1024,,3.656,0.9154
1026,,3.891,0.2201
1028,,3.839,0.3717
1030,,3.943,0.0630
1032,,4.086,-0.3608
1034,,4.355,-1.1564
1036,,4.333,-1.0933
1038,,4.541,-1.7089
1040,,4.327,-1.0793
1042,,4.231,-0.7978
1044,,4.388,-1.2629
1046,,4.246,-0.8458
1048,,4.301,-1.0099
1050,,4.181,-0.6576
1052,,4.253,-0.8719
1054,,4.248,-0.8590
1056,,4.094,-0.4064
1058,,4.228,-0.8037
1060,,4.084,-0.3806
1062,,3.94,0.0425
1064,,3.665,0.8521
1066,,3.478,1.4020
1068,,3.345,1.7926
1070,,3.324,1.8528
1072,,3.238,2.1047
1074,,3.406,1.6071
1076,,3.485,1.3722
1078,,3.541,1.2051
1080,,3.615,0.9849
1082,,3.799,0.4402
1084,,3.705,0.7157
1086,,3.891,0.1650
1088,,3.909,0.1101
1090,,3.948,-0.0068
1092,,4.008,-0.1857
1094,,3.998,-0.1580
1096,,4.031,-0.2573
1098,,4.276,-0.9820
1100,,4.082,-0.4114
1102,,4.026,-0.2480
1104,,3.928,0.0393
1106,,3.862,0.2322
1108,,3.65,0.8560
1110,,3.848,0.2699
1112,,3.84,0.2916
1114,,4.122,-0.5423
1116,,4.142,-0.6032
1118,,4.197,-0.7673
1120,,4.088,-0.4475
1122,,4.473,-1.5853
1124,,4.345,-1.2095
1126,,4.505,-1.6834
1128,,4.378,-1.3105
1130,,4.32,-1.1412
1132,,4.051,-0.3493
1134,,4.224,-0.8616
1136,,4.205,-0.8074
1138,,4.043,-0.3312
1140,,4.021,-0.2681
1142,,3.969,-0.1165
1144,,3.993,-0.1892
1146,,3.864,0.1896
1148,,4.015,-0.2578
1150,,3.799,0.3777
1152,,3.77,0.4615
1154,,3.763,0.4803
1156,,3.785,0.4135
1158,,3.682,0.7156
1160,,3.596,0.9676
1162,,3.601,0.9510
1164,,3.647,0.8134
1166,,3.535,1.1420
1168,,3.564,1.0546
1170,,3.6,0.9466
1172,,3.733,0.5523
1174,,3.765,0.4560
1176,,3.742,0.5221
1178,,3.796,0.3609
1180,,3.601,0.9344
1182,,3.837,0.2362
1184,,3.654,0.7744
1186,,3.767,0.4391
1188,,3.674,0.7117
1190,,4.047,-0.3908
1192,,4.141,-0.6700
1194,,4.274,-1.0643
1196,,4.322,-1.2077
1198,,4.394,-1.4220
1200,,4.415,-1.4858
1202,,4.202,-0.8591
1204,,4.339,-1.2652
1206,,4.158,-0.7330
1208,,4.321,-1.2158
1210,,4.203,-0.8694
1212,,4.082,-0.5142
1214,,4.1,-0.5692
1216,,3.822,0.2493
1218,,3.733,0.5101
1220,,3.973,-0.2000
1222,,3.892,0.0372
1224,,3.759,0.4278
1226,,3.597,0.9040
1228,,3.565,0.9966
1230,,3.425,1.4079
1232,,3.408,1.4562
1234,,3.339,1.6580
1236,,3.366,1.5764
1238,,3.373,1.5540
1240,,3.333,1.6701
1242,,3.467,1.2729
1244,,3.871,0.0790
1246,,4.077,-0.5307
1248,,4.356,-1.3558
1250,,4.313,-1.2307
1252,,4.249,-1.0437
1254,,4.27,-1.1075
1256,,4.107,-0.6284
1258,,3.903,-0.0283
1260,,3.87,0.0672
1262,,4.067,-0.5159
1264,,3.954,-0.1843
1266,,3.916,-0.0740
1268,,3.907,-0.0493
1270,,3.843,0.1377
1272,,3.812,0.2274
1274,,3.84,0.1429
1276,,3.711,0.5217
1278,,3.67,0.6409
1280,,3.56,0.9636
1282,,3.651,0.6933
1284,,3.84,0.1337
1286,,3.971,-0.2546
1288,,4.261,-1.1122
1290,,4.353,-1.3855
1292,,4.143,-0.7677
1294,,3.95,-0.2000
1296,,4.206,-0.9572
1298,,4.144,-0.7761
1300,,4.072,-0.5655
1302,,4.056,-0.5201
1304,,3.967,-0.2594
1306,,3.887,-0.0251
1308,,3.801,0.2268
1310,,3.65,0.6705
1312,,3.69,0.5506
1314,,3.708,0.4957
1316,,3.591,0.8391
1318,,3.731,0.4242
1320,,3.946,-0.2121
1322,,3.939,-0.1933
1324,,3.992,-0.3515
1326,,3.998,-0.3710
1328,,4.093,-0.6532
1330,,4.059,-0.5547
1332,,4.024,-0.4533
1334,,4.187,-0.9361
1336,,4.193,-0.9556
1338,,4.098,-0.6771
1340,,4.147,-0.8235
1342,,4.12,-0.7457
1344,,3.883,-0.0482
1346,,3.857,0.0267
1348,,3.672,0.5707
1350,,3.586,0.8226
1352,,3.486,1.1159
1354,,3.412,1.3324
1356,,3.5,1.0709
1358,,3.551,0.9186
1360,,3.628,0.6895
1362,,3.797,0.1890
1364,,3.984,-0.3646
1366,,3.988,-0.3783
1368,,4.184,-0.9584
1370,,4.036,-0.5236
