Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend
2483,,4.017,-1.4893
2485,,3.958,-1.3170
2488,,4.17,-1.9453
2490,,3.919,-1.2065
2493,,3.658,-0.4392
2495,,3.618,-0.3230
2498,,3.432,0.2231
2500,,3.32,0.5518
2503,,3.354,0.4487
2505,,3.505,0.0013
2508,,3.453,0.1520
2510,,3.686,-0.5374
2513,,3.912,-1.2070
2515,,3.959,-1.3475
2518,,4.107,-1.7870
2520,,4.149,-1.9128
2523,,4.121,-1.8329
2525,,4.127,-1.8524
2528,,4.062,-1.6634
2530,,3.902,-1.1931
2533,,3.984,-1.4378
2535,,3.81,-0.9262
2538,,3.822,-0.9644
2540,,3.68,-0.5472
2543,,3.441,0.1552
2545,,3.321,0.5075
2548,,3.218,0.8087
2550,,3.249,0.7154
2553,,3.313,0.5238
2555,,3.466,0.0705
2558,,3.392,0.2861
2560,,3.399,0.2636
2563,,3.415,0.2136
2565,,3.625,-0.4079
2568,,3.549,-0.1864
2570,,3.489,-0.0112
2573,,3.481,0.0097
2575,,3.426,0.1701
2578,,3.333,0.4418
2580,,3.274,0.6141
2583,,3.331,0.4431
2585,,3.246,0.6921
2588,,3.357,0.3618
2590,,3.469,0.0295
2593,,3.534,-0.1651
2595,,3.54,-0.1846
2598,,3.766,-0.8542
2600,,3.866,-1.1511
2603,,3.876,-1.1834
2605,,3.831,-1.0525
2608,,3.819,-1.0198
2610,,3.676,-0.5997
2613,,3.658,-0.5493
2615,,3.491,-0.0584
2618,,3.419,0.1513
2620,,3.31,0.4711
2623,,3.252,0.6395
2625,,3.251,0.6406
2628,,3.2,0.7883
2630,,3.262,0.6036
2633,,3.432,0.0992
2635,,3.454,0.0324
2638,,3.495,-0.0913
2640,,3.661,-0.5830
2643,,3.73,-0.7893
2645,,3.839,-1.1128
2648,,3.73,-0.7939
2650,,3.563,-0.3030
2653,,3.482,-0.0667
2655,,3.36,0.2914
2658,,3.23,0.6723
2660,,3.216,0.7118
2663,,3.124,0.9805
2665,,3.215,0.7101
2668,,3.194,0.7693
2670,,3.219,0.6937
2673,,3.288,0.4874
2675,,3.329,0.3645
2678,,3.467,-0.0454
2680,,3.435,0.0472
2683,,3.518,-0.2005
2685,,3.708,-0.7630
2688,,3.787,-0.9988
2690,,3.626,-0.5256
2693,,3.674,-0.6700
2695,,3.613,-0.4918
2698,,3.611,-0.4887
2700,,3.654,-0.6174
2703,,3.582,-0.4077
2705,,3.788,-1.0174
2708,,3.709,-0.7870
2710,,3.686,-0.7210
2713,,3.725,-0.8388
2715,,3.886,-1.3157
2718,,3.806,-1.0824
2720,,3.822,-1.1315
2723,,3.791,-1.0428
2725,,3.683,-0.7259
2728,,3.662,-0.6667
2730,,3.501,-0.1935
2733,,3.445,-0.0310
2735,,3.349,0.2505
2738,,3.179,0.7493
2740,,3.143,0.8537
2743,,3.08,1.0369
2745,,3.14,0.8580
2748,,3.131,0.8818
2750,,3.141,0.8504
2753,,3.185,0.7178
2755,,3.2,0.6717
2758,,3.185,0.7133
2760,,3.266,0.4724
2763,,3.242,0.5405
2765,,3.263,0.4767
2768,,3.146,0.8192
2770,,3.168,0.7524
2773,,3.24,0.5372
2775,,3.304,0.3465
2778,,3.209,0.6241
2780,,3.15,0.7963
2783,,3.164,0.7523
2785,,3.189,0.6767
2788,,3.218,0.5883
2790,,3.208,0.6160
2793,,3.241,0.5159
2795,,3.466,-0.1499
2798,,3.438,-0.0700
2800,,3.509,-0.2813
2803,,3.779,-1.0808
2805,,3.796,-1.1328
2808,,3.734,-0.9526
2810,,3.691,-0.8276
2813,,3.679,-0.7949
2815,,3.628,-0.6462
2818,,3.485,-0.2270
2820,,3.386,0.0632
2823,,3.227,0.5297
2825,,3.119,0.8465
2828,,3.136,0.7936
2830,,3.149,0.7534
2833,,3.126,0.8185
2835,,3.192,0.6219
2838,,3.266,0.4008
2840,,3.335,0.1954
2843,,3.454,-0.1585
2845,,3.361,0.1141
2848,,3.482,-0.2457
2850,,3.442,-0.1295
2853,,3.441,-0.1293
2855,,3.495,-0.2905
2858,,3.269,0.3736
2860,,3.285,0.3245
2863,,3.198,0.5785
2865,,3.318,0.2226
2868,,3.259,0.3939
2870,,3.293,0.2918
2873,,3.219,0.5074
2875,,3.271,0.3521
2878,,3.495,-0.3116
2880,,3.51,-0.3577
2883,,3.431,-0.1274
2885,,3.417,-0.0879
2888,,3.463,-0.2264
2890,,3.484,-0.2902
2893,,3.414,-0.0864
2895,,3.308,0.2245
2898,,3.151,0.6851
2900,,3.217,0.4885
2903,,3.274,0.3175
2905,,3.339,0.1239
2908,,3.289,0.2687
2910,,3.331,0.1429
2913,,3.32,0.1726
2915,,3.508,-0.3840
2918,,3.434,-0.1684
2920,,3.544,-0.4948
2923,,3.552,-0.5211
2925,,3.531,-0.4610
2928,,3.344,0.0880
2930,,3.399,-0.0761
2933,,3.519,-0.4329
2935,,3.377,-0.0158
2938,,3.18,0.5628
2940,,3.136,0.6908
2943,,2.986,1.1306
2945,,2.97,1.1760
2948,,3.014,1.0434
2950,,2.99,1.1124
2953,,2.999,1.0831
2955,,3.14,0.6652
2958,,3.226,0.4087
2960,,3.102,0.7727
2963,,3.211,0.4483
2965,,3.204,0.4672
2968,,3.34,0.0631
2970,,3.347,0.0406
2973,,3.387,-0.0802
2975,,3.511,-0.4479
2978,,3.43,-0.2116
2980,,3.433,-0.2223
2983,,3.223,0.3946
2985,,3.129,0.6701
2988,,3.179,0.5198
2990,,3.217,0.4058
2993,,3.258,0.2821
2995,,3.219,0.3954
2998,,3.309,0.1270
3000,,3.392,-0.1197
3005,,3.449,-0.2925
3010,,3.486,-0.4063
3015,,3.563,-0.6381
3020,,3.474,-0.3800
3025,,3.308,0.1052
3030,,3.177,0.4872
3035,,3.13,0.6212
3040,,3.257,0.2419
3045,,3.333,0.0131
3050,,3.323,0.0380
3055,,3.182,0.4494
3060,,2.98,1.0409
3065,,3.06,0.8003
3070,,3.088,0.7130
3075,,3.105,0.6583
3080,,3.021,0.9016
3085,,2.995,0.9737
3090,,3.201,0.3612
3095,,3.188,0.3950
3100,,3.056,0.7799
3105,,3.092,0.6691
3110,,3.147,0.5022
3115,,3.258,0.1701
3120,,3.301,0.0386
3125,,3.36,-0.1400
3130,,3.352,-0.1210
3135,,3.506,-0.5800
3140,,3.396,-0.2600
3145,,3.302,0.0127
3150,,3.113,0.5658
3155,,2.962,1.0068
3160,,2.994,0.9078
3165,,3.053,0.7291
3170,,3.132,0.4914
3175,,3.187,0.3245
3180,,3.176,0.3524
3185,,3.118,0.5189
3190,,2.985,0.9068
3195,,3.098,0.5688
3200,,3.056,0.6881
3205,,2.975,0.9225
3210,,3.067,0.6465
3215,,3.188,0.2849
3220,,3.131,0.4485
3225,,3.205,0.2255
3230,,3.08,0.5898
3235,,3.213,0.1927
3240,,3.088,0.5570
3245,,3.09,0.5465
3250,,2.967,0.9048
3255,,3.221,0.1508
3260,,3.208,0.1845
3265,,3.291,-0.0650
3270,,3.216,0.1517
3275,,3.268,-0.0063
3280,,3.292,-0.0817
3285,,3.486,-0.6587
3290,,3.694,-1.2771
3295,,3.758,-1.4705
3300,,3.707,-1.3246
3305,,3.465,-0.6151
3310,,3.392,-0.4043
3315,,3.308,-0.1610
3320,,3.128,0.3655
3325,,3.217,0.0983
3330,,3.312,-0.1866
3335,,3.306,-0.1735
3340,,3.408,-0.4791
3345,,3.311,-0.1974
3350,,3.229,0.0399
3355,,3.277,-0.1063
3360,,3.235,0.0131
3365,,3.085,0.4511
3370,,3.209,0.0806
3375,,3.402,-0.4935
3380,,3.33,-0.2856
3385,,3.267,-0.1043
3390,,3.181,0.1448
3395,,3.06,0.4973
3400,,3.152,0.2212
3405,,3.186,0.1163
3410,,3.129,0.2799
3415,,3.004,0.6442
3420,,3.128,0.2737
3425,,3.19,0.0862
3430,,3.108,0.3235
3435,,2.915,0.8884
3440,,2.953,0.7717
3445,,3.06,0.4514
3450,,3.032,0.5294
3455,,3.074,0.4009
3460,,3.202,0.0186
3465,,3.217,-0.0302
3470,,3.149,0.1658
3475,,2.998,0.6068
3480,,2.933,0.7940
3485,,2.918,0.8337
3490,,2.785,1.2215
3495,,2.902,0.8717
3500,,3.021,0.5160
3505,,3.005,0.5586
3510,,3.019,0.5127
3515,,3.065,0.3724
3520,,3.068,0.3589
3525,,3.11,0.2304
3530,,3,0.5504
3535,,3.038,0.4337
3540,,2.958,0.6652
3545,,3.048,0.3950
3550,,3.161,0.0570
3555,,3.177,0.0052
3560,,3.121,0.1658
3565,,3.013,0.4799
3570,,2.999,0.5166
3575,,2.944,0.6743
3580,,3.106,0.1917
3585,,3.137,0.0957
3590,,3.114,0.1589
3595,,3.09,0.2252
3600,,3.014,0.4448
3605,,2.92,0.7176
3610,,2.947,0.6333
3615,,3.034,0.3720
3620,,3.31,-0.4469
3625,,3.284,-0.3748
3630,,3.441,-0.8427
3635,,3.37,-0.6378
3640,,3.169,-0.0493
3645,,3,0.4448
3650,,3.003,0.4314
3655,,3.079,0.2025
3660,,3.22,-0.2181
3665,,3.354,-0.6181
3670,,3.397,-0.7496
3675,,3.217,-0.2230
3680,,3.006,0.3950
3685,,2.998,0.4140
3690,,2.89,0.7281
3695,,3.037,0.2897
3700,,3.035,0.2911
3705,,3.089,0.1271
3710,,3.264,-0.3938
3715,,3.308,-0.5283
3720,,2.973,0.4556
3725,,2.869,0.7579
3730,,2.989,0.3993
3735,,3.018,0.3091
3740,,2.992,0.3812
3745,,3.078,0.1229
3750,,3.08,0.1124
3755,,2.983,0.3940
3760,,2.944,0.5045
3765,,2.906,0.6120
3770,,3.068,0.1294
3775,,3.081,0.0865
3780,,2.968,0.4153
3785,,2.96,0.4343
3790,,3.047,0.1730
3795,,3.18,-0.2240
3800,,3.134,-0.0929
3805,,3.073,0.0825
3810,,3.036,0.1871
3815,,3.057,0.1206
3820,,3.018,0.2311
3825,,3.179,-0.2486
3830,,3.267,-0.5129
3835,,3.061,0.0904
3840,,2.844,0.7261
3845,,2.886,0.5976
3850,,2.956,0.3865
3855,,2.848,0.7005
3860,,2.889,0.5750
3865,,3.186,-0.3060
3870,,3.145,-0.1896
3875,,3.259,-0.5306
3880,,3.007,0.2084
3885,,2.935,0.4163
3890,,2.932,0.4206
3895,,3.063,0.0294
3900,,2.925,0.4320
3905,,2.924,0.4304
3910,,2.902,0.4907
3915,,3.016,0.1497
3920,,3.097,-0.0939
3925,,2.927,0.4032
3930,,2.881,0.5343
3935,,2.775,0.8425
3940,,3.011,0.1415
3945,,3.12,-0.1847
3950,,3.064,-0.0240
3955,,2.946,0.3196
3960,,2.919,0.3946
3965,,3.004,0.1392
3970,,3.037,0.0373
3975,,3.062,-0.0411
3980,,3.091,-0.1312
3985,,3.084,-0.1152
3990,,3.263,-0.6479
3995,,3.294,-0.7440
4000,,3.225,-0.5450
4005,,3.183,-0.4257
4010,,2.963,0.2189
4015,,2.88,0.4592
4020,,3.097,-0.1857
4025,,3.032,0.0015
4030,,3.098,-0.1978
4035,,3.182,-0.4502
4040,,3.064,-0.1066
4045,,3.11,-0.2470
4050,,3.03,-0.0155
4055,,3.131,-0.3181
4060,,3.052,-0.0896
4065,,3.043,-0.0676
4070,,3.121,-0.3024
4075,,2.871,0.4307
4080,,3.069,-0.1581
4085,,3.034,-0.0594
4090,,3.058,-0.1348
4095,,2.98,0.0907
4100,,2.845,0.4845
4105,,2.902,0.3117
4110,,2.874,0.3897
4115,,2.959,0.1343
4120,,2.973,0.0884
4125,,2.927,0.2196
4130,,2.993,0.0202
4135,,2.973,0.0747
4140,,2.968,0.0848
4145,,2.946,0.1451
4150,,3.135,-0.4171
4155,,3.171,-0.5280
4160,,3.139,-0.4381
4165,,2.953,0.1061
4170,,3.03,-0.1257
4175,,2.94,0.1353
4180,,2.887,0.2871
4185,,2.892,0.2678
4190,,2.955,0.0773
4195,,3.06,-0.2371
4200,,3.091,-0.3332
4205,,3.04,-0.1873
4210,,2.952,0.0678
4215,,2.863,0.3258
4220,,2.951,0.0615
4225,,3.021,-0.1496
4230,,2.867,0.3002
4235,,3.056,-0.2621
4240,,2.975,-0.0276
4245,,3.028,-0.1886
4250,,3,-0.1106
4255,,3.129,-0.4958
4260,,2.919,0.1192
