Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
335.46,14.86,209.8
336.02,14.88,251.52
336.58,14.9,220.18
337.13,14.92,249.59
337.69,14.94,172.21
338.25,14.96,234.58
338.76,14.98,225.69
339.2,15,272.98
339.65,15.02,123.92
340.09,15.04,99.68
340.54,15.06,80.33
340.99,15.08,125.56
341.43,15.1,77.2
341.88,15.12,69.75
342.33,15.14,163.35
342.77,15.16,184.69
343.22,15.18,121.81
343.66,15.2,151.02
344.08,15.22,204.09
344.5,15.24,215.04
344.92,15.26,121.55
345.33,15.28,192.32
345.75,15.3,141.14
346.17,15.32,152.72
346.59,15.34,152.27
347.01,15.36,138.06
347.43,15.38,132.1
347.8,15.4,66.44
348.17,15.42,64.33
348.54,15.44,107.19
348.91,15.46,55.89
349.28,15.48,101.82
349.66,15.5,123.56
350.03,15.52,120
350.4,15.54,105.69
350.77,15.56,108.29
351.14,15.58,114.06
351.51,15.6,87.08
351.89,15.62,93.05
352.26,15.64,100.14
352.63,15.66,0.79
353,15.68,108.72
353.37,15.7,94.51
353.75,15.72,108.14
354.12,15.74,131.57
354.49,15.76,178.05
354.86,15.78,166.69
355.23,15.8,204.31
355.6,15.82,195.39
355.98,15.84,211.6
356.35,15.86,192.57
356.72,15.88,218.97
357.09,15.9,201.85
357.46,15.92,196.35
357.83,15.94,156.8
358.21,15.96,180.53
358.58,15.98,162.26
358.95,16,106.71
359.32,16.02,80.52
359.69,16.04,102.56
360.07,16.06,77.5
360.44,16.08,95.72
360.81,16.1,85.89
361.18,16.12,99.78
361.55,16.14,81.06
361.92,16.16,104.38
362.3,16.18,75.31
362.67,16.2,77.73
363.04,16.22,76.18
363.41,16.24,93.71
363.78,16.26,45.6
364.15,16.28,91.13
364.34,16.29,61.83
364.53,16.3,74.48
364.71,16.31,56.74
364.9,16.32,82.68
365.08,16.33,59.33
365.27,16.34,84.38
365.46,16.35,68.02
365.64,16.36,74.09
365.83,16.37,62.38
366.01,16.38,56.55
366.2,16.39,59.63
366.39,16.4,42.64
366.57,16.41,45.41
366.76,16.42,83.16
367.13,16.44,65.78
367.13,16.44,86.84
367.5,16.46,53.94
367.5,16.46,74.19
367.87,16.48,92.86
367.87,16.48,60.41
368.24,16.5,90.67
368.24,16.5,50.36
368.62,16.52,56.62
368.62,16.52,46.49
368.99,16.54,65.26
368.99,16.54,63.84
369.36,16.56,77
369.73,16.58,78.88
370.1,16.6,88.5
370.47,16.62,60.1
370.85,16.64,45.32
