Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
659.18,32.13,194.47
659.55,32.15,147.88
659.92,32.17,213.37
660.3,32.19,215.66
660.67,32.21,176.02
661.04,32.23,130.56
661.41,32.25,127.36
661.78,32.27,146.99
662.15,32.29,155.77
662.52,32.31,238.55
662.9,32.33,119.72
663.27,32.35,156.67
663.64,32.37,115.28
664.01,32.39,121.67
664.38,32.41,203.17
664.76,32.43,225.8
665.13,32.45,175.53
665.5,32.47,197.28
665.87,32.49,142.93
666.24,32.51,191.15
666.61,32.53,194.7
666.99,32.55,140.14
667.36,32.57,138.2
667.73,32.59,193.88
668.1,32.61,172.03
668.47,32.63,144.67
668.85,32.65,150.58
669.22,32.67,158.11
669.59,32.69,168.18
669.96,32.71,271.24
670.33,32.73,139.18
670.7,32.75,142.17
671.08,32.77,134.94
671.45,32.79,115.12
671.82,32.81,255.23
672.19,32.83,165.57
672.56,32.85,121.27
672.93,32.87,111.62
673.31,32.89,116.54
673.68,32.91,160.84
674.05,32.93,139.93
674.42,32.95,170.19
674.79,32.97,204.14
675.16,32.99,195.65
675.91,33.03,194.09
676.28,33.05,168.09
676.65,33.07,144.23
677.02,33.09,146.42
677.39,33.11,186.35
677.77,33.13,124.67
678.14,33.15,140.82
678.88,33.19,148.18
679.25,33.21,161.48
679.63,33.23,142.55
680,33.25,137.35
680.37,33.27,99.09
680.74,33.29,104.25
681.11,33.31,111.14
681.48,33.33,111.75
681.86,33.35,106.6
682.23,33.37,100.17
682.6,33.39,73.93
682.97,33.41,129.75
683.34,33.43,105.12
683.71,33.45,121.01
684.09,33.47,124.45
684.46,33.49,123.56
685.2,33.53,178.09
685.57,33.55,158.62
685.95,33.57,160.52
686.32,33.59,165.59
687.06,33.63,157.2
687.43,33.65,155.92
687.8,33.67,161.65
688.17,33.69,160.4
688.92,33.73,110.24
689.29,33.75,61.45
689.66,33.77,44.04
690.03,33.79,36.57
690.41,33.81,43.11
690.78,33.83,33.97
691.15,33.85,35.68
691.52,33.87,32.93
691.89,33.89,35.35
692.26,33.91,76.5
692.64,33.93,37.57
693.01,33.95,44.56
693.38,33.97,34.06
693.75,33.99,27.42
694.12,34.01,92.41
694.5,34.03,33.41
694.87,34.05,26.6
695.24,34.07,44.89
695.61,34.09,31.81
695.98,34.11,25
696.35,34.13,15.48
696.73,34.15,36.91
697.1,34.17,27.81
697.47,34.19,33.98
697.84,34.21,27.1
698.21,34.23,29.68
698.58,34.25,24.17
698.96,34.27,38.45
699.33,34.29,15.04
699.7,34.31,26.43
700.07,34.33,27.92
700.44,34.35,17.25
700.81,34.37,28.5
701.19,34.39,27.48
701.56,34.41,28.6
701.93,34.43,28.59
702.3,34.45,30.44
702.67,34.47,19.82
703.04,34.49,34.39
703.42,34.51,43.45
703.79,34.53,25.86
704.16,34.55,41.71
704.53,34.57,42.83
704.9,34.59,24
705.28,34.61,44.33
705.65,34.63,36.55
706.02,34.65,52.33
706.39,34.67,73.27
706.76,34.69,42.43
707.13,34.71,123.65
707.51,34.73,107.74
707.88,34.75,113.62
708.25,34.77,154.8
708.62,34.79,198.92
708.99,34.81,237.69
709.36,34.83,275.87
709.74,34.85,319.7
710.11,34.87,347.32
710.48,34.89,449.76
710.85,34.91,468.44
711.22,34.93,485.42
711.6,34.95,316.67
711.97,34.97,468.23
712.34,34.99,518.32
712.71,35.01,408.98
713.08,35.03,235.93
713.45,35.05,454.55
713.82,35.07,354.39
714.2,35.09,362.83
714.57,35.11,465.49
714.94,35.13,279.12
715.31,35.15,355.83
715.68,35.17,350.44
716.06,35.19,416.22
716.43,35.21,204.09
716.85,35.23,297.87
717.68,35.27,318.77
718.1,35.29,310.6
718.52,35.31,171.42
718.94,35.33,265.04
719.36,35.35,287.41
719.77,35.37,160.85
720.19,35.39,235.79
720.61,35.41,151.38
721.03,35.43,269.2
721.45,35.45,235.59
721.87,35.47,220.66
722.28,35.49,184.07
722.7,35.51,147.87
723.12,35.53,148.45
723.54,35.55,152.17
723.96,35.57,129.45
724.37,35.59,133.55
724.79,35.61,74.83
725.21,35.63,82.63
725.63,35.65,118.66
726.05,35.67,177.55
726.47,35.69,100.51
726.88,35.71,108.22
727.3,35.73,86.17
727.72,35.75,80.04
728.14,35.77,72.01
728.56,35.79,97.69
728.97,35.81,70.54
729.39,35.83,68.82
730.23,35.87,75.73
730.65,35.89,72.03
731.07,35.91,79.54
731.48,35.93,85.23
731.9,35.95,102.27
732.32,35.97,82.9
732.74,35.99,117.11
733.16,36.01,144.69
733.57,36.03,114.29
733.99,36.05,90.11
734.41,36.07,78.51
734.83,36.09,70.56
735.25,36.11,80.47
735.67,36.13,82.05
736.08,36.15,82.8
736.29,36.16,78.51
736.5,36.17,81.34
736.71,36.18,80.03
736.92,36.19,93.19
737.13,36.2,153.82
737.34,36.21,74.14
737.55,36.22,88.65
737.76,36.23,96.36
737.97,36.24,100.73
738.38,36.26,112.86
738.59,36.27,117.44
739.01,36.29,128.36
739.01,36.29,143.18
739.43,36.31,147.01
739.43,36.31,98.07
739.85,36.33,154.6
740.06,36.34,164
740.27,36.35,122.94
740.68,36.37,116.98
740.68,36.37,231.01
741.31,36.4,209.47
741.52,36.41,127.54
741.73,36.42,208.49
741.94,36.43,187.28
742.36,36.45,196.01
742.36,36.45,197.12
742.78,36.47,125.9
742.99,36.48,250.16
743.19,36.49,220.03
743.4,36.5,161.03
743.61,36.51,212.33
744.03,36.53,190.36
744.03,36.53,166.2
744.45,36.55,212.17
744.66,36.56,180.61
744.87,36.57,174.81
745.08,36.58,196.43
745.28,36.59,246.93
745.7,36.61,190.14
745.7,36.61,209.64
746.12,36.63,233.84
746.12,36.63,314.44
746.54,36.65,199.01
746.96,36.67,207.82
747.37,36.69,180.91
748,36.72,273.43
748.42,36.74,234.73
748.84,36.76,220.9
749.26,36.78,124.08
749.68,36.8,121.61
750.09,36.82,160.33
750.51,36.84,150.98
750.93,36.86,254.44
751.35,36.88,212.4
751.98,36.91,169.75
752.39,36.93,227.5
752.81,36.95,167.66
753.23,36.97,255.99
753.65,36.99,171.48
754.07,37.01,247.63
754.49,37.03,156.66
754.9,37.05,123.88
755.32,37.07,135.43
755.74,37.09,60.66
756.16,37.11,164.53
756.37,37.12,68.35
756.79,37.14,158.38
756.99,37.15,273.09
757.41,37.17,346.51
757.83,37.19,367.95
758.04,37.2,314.22
758.46,37.22,326.08
758.88,37.24,283.5
759.09,37.25,122.16
759.5,37.27,270.84
759.71,37.28,259.54
760.13,37.3,218.38
760.55,37.32,200.55
760.76,37.33,234.58
761.18,37.35,248.97
761.8,37.38,224.71
762.43,37.41,146.36
763.06,37.44,345.97
763.69,37.47,177.3
764.31,37.5,168.18
764.73,37.52,206.72
766.61,37.61,143.16
767.24,37.64,141.48
767.87,37.67,123.17
768.49,37.7,189.71
769.12,37.73,137.45
769.54,37.75,58.87
770.17,37.78,120.92
770.59,37.8,92.51
771,37.82,69.8
771.42,37.84,61.91
771.84,37.86,64.59
772.26,37.88,70.8
772.68,37.9,59.75
773.1,37.92,54.34
773.74,37.95,65.29
774.18,37.97,57.99
774.63,37.99,29.34
775.08,38.01,41.32
775.52,38.03,36.56
775.97,38.05,31.23
776.42,38.07,28.67
776.86,38.09,39.24
777.53,38.12,30.7
777.98,38.14,67.53
778.42,38.16,26.66
778.95,38.18,33.4
779.51,38.2,31.56
780.12,38.22,33.58
780.82,38.24,19.62
781.52,38.26,34.08
782.56,38.29,35.81
783.26,38.31,65.68
783.96,38.33,38.94
785.35,38.37,34.99
786.05,38.39,36.6
786.75,38.41,46.2
787.44,38.43,70.97
788.49,38.46,106.54
789.19,38.48,116.03
789.88,38.5,161.37
790.58,38.52,93.74
791.28,38.54,87.85
791.97,38.56,116.09
792.64,38.58,135.1
793.19,38.6,122.15
793.98,38.63,144.38
794.42,38.65,136.66
794.87,38.67,120.41
795.32,38.69,140.11
795.76,38.71,208.29
796.21,38.73,194.68
796.65,38.75,263.99
797.1,38.77,253.23
797.55,38.79,316.85
797.99,38.81,208.13
798.44,38.83,215.33
798.88,38.85,203.11
799.3,38.87,232.31
799.72,38.89,308.62
799.93,38.9,219.93
800.35,38.92,80.26
800.76,38.94,211.74
801.18,38.96,206.31
801.6,38.98,222.29
802.02,39,272.75
802.44,39.02,199.19
802.83,39.04,196.5
803.2,39.06,156.43
803.57,39.08,185.97
803.95,39.1,326.25
804.32,39.12,566.62
804.69,39.14,201.48
805.06,39.16,217.87
805.43,39.18,176.13
805.8,39.2,150.14
806.18,39.22,153.36
806.55,39.24,168.05
806.92,39.26,214.04
807.29,39.28,135.44
807.66,39.3,115.01
808.04,39.32,124.42
808.41,39.34,140.61
808.78,39.36,107.37
809.15,39.38,104.01
809.52,39.4,124.99
809.9,39.42,113.09
810.27,39.44,119.8
810.64,39.46,117.47
811.01,39.48,109.96
811.38,39.5,239.23
811.75,39.52,266.22
812.12,39.54,91.91
812.5,39.56,96.98
812.87,39.58,148.4
813.24,39.6,148.32
813.61,39.62,122.13
813.98,39.64,208.58
814.36,39.66,165.79
814.73,39.68,163.29
815.1,39.7,92.47
815.47,39.72,107.41
815.84,39.74,233.54
816.21,39.76,185.94
816.59,39.78,85.95
816.96,39.8,222.56
817.33,39.82,192.67
817.7,39.84,108.41
818.07,39.86,195.13
818.44,39.88,166.1
818.82,39.9,163.41
819.19,39.92,134.4
819.56,39.94,100.27
819.93,39.96,110.26
820.3,39.98,65.58
820.71,40,55.49
821.13,40.02,64.32
821.55,40.04,66.65
821.96,40.06,49.22
822.38,40.08,55.78
822.8,40.1,79.8
823.22,40.12,71.69
823.64,40.14,69.12
824.06,40.16,66.54
824.49,40.18,62.54
824.94,40.2,48.19
825.38,40.22,71.44
825.83,40.24,83.03
826.28,40.26,50.12
826.72,40.28,128.32
827.17,40.3,73.81
827.61,40.32,82.08
828.06,40.34,145.22
828.51,40.36,94.79
828.95,40.38,107.19
829.43,40.4,82.12
829.99,40.42,49.77
830.55,40.44,97.69
831.1,40.46,88.96
831.66,40.48,56.54
832.22,40.5,58.04
832.78,40.52,89.7
833.33,40.54,93.91
833.89,40.56,53.75
834.45,40.58,108.2
835.01,40.6,72.09
835.56,40.62,116.23
836.12,40.64,51.08
836.68,40.66,45.11
837.24,40.68,34.06
838.07,40.71,47.65
838.63,40.73,141.6
839.19,40.75,75.6
839.75,40.77,189.12
840.3,40.79,60.53
840.86,40.81,195.37
841.42,40.83,58.78
841.98,40.85,41.78
842.53,40.87,42.63
843.09,40.89,41.9
843.65,40.91,40.9
844.21,40.93,42.56
845.32,40.97,38.91
845.88,40.99,36.22
846.44,41.01,18.2
847.55,41.05,36.42
848.11,41.07,35.66
848.67,41.09,21.81
849.23,41.11,17.5
849.78,41.13,15.79
850.34,41.15,120.94
851.46,41.19,77.94
852.01,41.21,63.19
852.57,41.23,51.72
853.13,41.25,38.64
853.69,41.27,43.53
854.24,41.29,30.36
854.8,41.31,37.4
855.36,41.33,25.79
855.92,41.35,26.04
856.47,41.37,28.57
857.03,41.39,38.09
857.59,41.41,32.65
858.15,41.43,48.16
858.7,41.45,17.62
859.26,41.47,51.09
859.82,41.49,16.68
860.66,41.52,33.57
861.21,41.54,46.77
861.77,41.56,35.52
862.33,41.58,95.05
862.89,41.6,50
863.44,41.62,56.46
864,41.64,62.77
864.56,41.66,95.56
865.12,41.68,148.38
865.68,41.7,58.87
866.23,41.72,77.94
866.79,41.74,101.76
867.35,41.76,104.32
867.91,41.78,84.54
868.46,41.8,199.84
869.02,41.82,100.34
870.69,41.88,100.97
871.53,41.91,177.57
872.09,41.93,138.1
873.2,41.97,162.82
873.76,41.99,197.81
874.32,42.01,228.22
874.88,42.03,122.01
875.99,42.07,223.78
876.55,42.09,273.48
877.1,42.11,216.03
877.62,42.13,247.85
878.29,42.16,206.59
878.74,42.18,254.1
879.18,42.2,263.89
879.63,42.22,225.82
880.52,42.26,215.15
880.97,42.28,289.89
881.86,42.32,159.26
882.75,42.36,242.91
882.97,42.37,168.82
883.42,42.39,256.11
883.87,42.41,254.31
884.76,42.45,216
885.2,42.47,385.29
885.65,42.49,448.88
886.1,42.51,247.37
886.99,42.55,397.48
887.43,42.57,272.1
887.88,42.59,277.23
888.33,42.61,415.98
889,42.64,220.66
889.44,42.66,204.48
889.89,42.68,356.22
890.33,42.7,241.22
891.23,42.74,299.61
891.67,42.76,231.45
892.12,42.78,375.12
892.56,42.8,355.5
893.46,42.84,259
893.68,42.85,210.41
894.13,42.87,315.56
894.57,42.89,231.32
895.46,42.93,222.14
895.91,42.95,180.47
896.36,42.97,232.58
896.8,42.99,231.08
897.69,43.03,142.9
898.14,43.05,117.13
898.59,43.07,145.07
898.81,43.08,65.25
899.7,43.12,72.33
900.15,43.14,104.16
900.59,43.16,73.6
901.04,43.18,106.17
901.93,43.22,76.57
902.38,43.24,73.32
902.82,43.26,168.84
903.27,43.28,69.93
903.94,43.31,73.52
904.39,43.33,92.07
904.83,43.35,91.43
905.28,43.37,127.9
906.17,43.41,165.85
906.62,43.43,129.78
907.06,43.45,107.75
907.51,43.47,91.65
908.4,43.51,165.89
908.85,43.53,81.59
909.29,43.55,116.61
909.52,43.56,65.18
910.41,43.6,53.15
910.85,43.62,71.08
911.3,43.64,66.1
911.75,43.66,76.39
912.64,43.7,122.17
913.08,43.72,114.34
913.53,43.74,260.46
913.98,43.76,120.18
914.87,43.8,114.3
915.32,43.82,259.58
915.76,43.84,299.31
916.21,43.86,305.26
917.1,43.9,381.97
917.55,43.92,260.66
917.99,43.94,248.05
918.44,43.96,236.12
919.33,44,329.04
919.78,44.02,263.83
920.22,44.04,312.76
920.67,44.06,195.7
921.56,44.1,204.62
922.01,44.12,283.44
922.45,44.14,163.46
922.9,44.16,380.81
924.24,44.21,359.87
924.8,44.23,220.1
925.36,44.25,206.78
925.92,44.27,204.99
927.03,44.31,480.76
927.59,44.33,362.17
928.15,44.35,197.07
928.7,44.37,162.81
929.82,44.41,171.98
930.38,44.43,214.19
930.93,44.45,250.54
931.49,44.47,463.21
932.61,44.51,255.05
933.16,44.53,207.99
933.72,44.55,230.7
934.28,44.57,240.31
935.39,44.61,182.17
935.95,44.63,94.96
936.79,44.66,86.74
937.35,44.68,94.47
938.46,44.72,123.26
939.02,44.74,131.96
939.58,44.76,92.78
940.13,44.78,53.89
941.25,44.82,53.63
941.81,44.84,50.75
942.36,44.86,51.67
942.92,44.88,51.09
944.04,44.92,52.63
944.6,44.94,42.37
945.15,44.96,54.49
945.71,44.98,30.66
946.83,45.02,35.01
947.38,45.04,18.89
947.94,45.06,22.28
948.78,45.09,21.1
949.89,45.13,61.37
950.45,45.15,30.03
951.01,45.17,24.65
951.57,45.19,24.32
952.68,45.23,42.1
953.24,45.25,28.6
953.8,45.27,21.9
955.47,45.33,31.72
956.03,45.35,99.21
956.58,45.37,26.61
957.14,45.39,89.66
957.42,45.4,53.76
957.98,45.42,90.94
958.26,45.43,29.02
958.54,45.44,94.07
958.81,45.45,60.49
959.09,45.46,22.46
959.37,45.47,22.74
959.65,45.48,26.47
960.21,45.5,23.78
960.21,45.5,26.14
960.76,45.52,33.14
961.32,45.54,21.73
961.32,45.54,40.67
961.88,45.56,57.66
962.29,45.58,48.38
963.51,45.64,92.1
963.92,45.66,104.93
964.33,45.68,137.56
965.15,45.72,189.36
965.55,45.74,200.85
965.96,45.76,188.99
967.19,45.82,158.14
968,45.86,134.7
970.04,45.96,147.94
972.08,46.06,84.83
974.12,46.16,84.64
976.16,46.26,20.71
978.21,46.36,61.54
980.25,46.46,112.21
982.29,46.56,55.65
984.33,46.66,73.58
985.96,46.74,104.56
987.59,46.82,144.14
989.25,46.92,73.54
990.2,46.98,74.89
991.76,47.08,68.24
993.02,47.16,40.31
994.27,47.24,34.84
995.53,47.32,42.49
996.47,47.38,24.54
998.04,47.48,29.76
1001.18,47.68,56.36
1004.46,47.88,181.41
1006.76,47.98,75.28
1011.35,48.18,54.29
1013.65,48.28,154.92
1018.25,48.48,36.79
1020.55,48.58,80.56
1022.85,48.68,123.04
1025.14,48.78,21.17
1034.57,49.19,53.42
1038.67,49.37,81.53
1042.14,49.53,42.43
1045.62,49.69,62.56
1048.88,49.84,61.12
1052.36,50,155.47
1059.31,50.32,247.82
1062.57,50.47,96.12
1066.49,50.65,29.61
1070.18,50.82,26.41
1072.14,50.91,26.8
1073.88,50.99,41.45
1081.26,51.33,24.43
1085.61,51.53,30.31
1089.96,51.73,64.63
1094.31,51.93,119.11
1098.71,52.13,366.32
1103.46,52.33,115.16
1108.2,52.53,43.64
1112.95,52.73,44.53
1117.69,52.93,65.69
1122.44,53.13,163.96
1127.22,53.33,214.81
1132.08,53.53,210.53
1136.95,53.73,263.06
1141.81,53.93,20.58
1146.68,54.13,83.79
1149.11,54.23,78.13
1156.41,54.53,51.23
1161.27,54.73,64.39
1166.14,54.93,35.48
1171,55.13,20.62
1175.86,55.33,60.87
1180.73,55.53,24.57
1185.59,55.73,50.67
1190.46,55.93,31.21
1195.32,56.13,49.57
1199.79,56.33,35.8
1203.76,56.53,121.64
1207.74,56.73,99.24
1211.71,56.93,26.5
1215.69,57.13,148.32
1219.66,57.33,215.52
1223.64,57.53,268.75
1227.61,57.73,201.53
1231.59,57.93,32.94
1231.98,57.95,29.93
1234.57,58.08,31.89
1236.56,58.18,30.53
1238.54,58.28,26.71
1240.53,58.38,30.55
1244.51,58.58,149.97
1247.09,58.71,180.19
1248.66,58.79,249.4
1252.53,58.99,321.23
1256.6,59.2,221.7
1260.86,59.42,455.98
1265.12,59.64,265.55
1269.19,59.85,47.66
1273.45,60.07,33.04
1277.32,60.27,30.85
1280.61,60.44,53.81
1284.1,60.62,124.73
1287.78,60.81,184.18
1291.67,60.99,361.41
1296.28,61.17,446.11
1301.15,61.36,69.96
1305.76,61.54,52.06
1308.58,61.65,33.86
1310.63,61.73,37.88
1315.24,61.91,50.03
1319.85,62.09,39.31
1324.72,62.28,57.17
1329.33,62.46,136.37
1333.94,62.64,385.44
1339.08,62.92,206.98
1341.24,63.06,166
1341.7,63.09,173.84
1344.94,63.3,81.78
1348.03,63.5,25.9
1351.11,63.7,36.65
1354.2,63.9,38.26
1357.29,64.1,14.71
1360.37,64.3,34.79
1363.46,64.5,28.17
1365.31,64.62,38.5
1366.54,64.7,54.14
1369.63,64.9,115.7
1372.89,65.1,181.97
1374.81,65.2,252.09
1378.06,65.37,78.07
1379.98,65.47,162.09
1383.82,65.67,20.76
1387.65,65.87,31.24
1389.95,65.99,20.82
1391.49,66.07,24.64
1395.32,66.27,60.04
1399.15,66.47,38.59
1402.99,66.67,46.36
1406.82,66.87,187.16
1410.66,67.07,188.26
1422.23,67.47,62.95
1422.85,67.49,49.96
1428.42,67.67,26.24
1434.62,67.87,17.87
1440.82,68.07,19.49
1447.01,68.27,22.97
1453.21,68.47,107.81
1458.28,68.67,109.93
1462.41,68.87,207.33
1464.9,68.99,163.7
1466.55,69.07,161.52
1470.69,69.27,178.42
1474.83,69.47,53.92
1478.97,69.67,57.68
1483.11,69.87,18.34
1487.24,70.07,21.13
1489.31,70.17,27.24
1491.18,70.26,44.65
1493.25,70.36,96.67
1497.26,70.56,156.31
1501.03,70.76,108.66
1504.99,70.97,128.1
1508.76,71.17,211.6
1511.02,71.29,144.76
1512.53,71.37,102.2
1516.3,71.57,20.87
1520.07,71.77,62.79
1523.84,71.97,25.05
1531.38,72.37,100.92
1535.33,72.58,73.07
1539.1,72.78,144.38
1539.48,72.8,208.14
1542.67,72.98,148.98
1544.43,73.08,173.75
1546.18,73.18,76.14
1549.51,73.37,79.11
1552.85,73.56,45.27
1554.6,73.66,60.19
1556.18,73.75,77.25
1557.76,73.84,33.1
1559.51,73.94,25.88
1562.84,74.13,21.46
1564.42,74.22,25.38
1564.77,74.24,16.05
1566,74.31,16.16
1567.76,74.41,12.63
1569.51,74.51,15.25
1571.09,74.6,22.09
1571.26,74.61,34.12
1573.02,74.71,29.1
1574.77,74.81,34
1576.34,74.91,39.03
1578.6,75.11,45.98
1580.86,75.31,46.94
1583.12,75.51,22.79
1585.38,75.71,56.72
1587.64,75.91,128.19
1588.77,76.01,44.32
1589.9,76.11,33.07
1592.16,76.31,24.1
1593.29,76.41,26.18
1594.42,76.51,23.84
1595.55,76.61,37.76
1596.69,76.71,18.31
1598.95,76.91,31.19
1602.56,77.23,84.73
1604.6,77.41,76.04
1605.73,77.51,20.07
1608.67,77.77,36.33
1610.36,77.92,32.9
1610.7,77.95,32.65
1611.94,78.06,22.51
1613.64,78.21,23.95
1616.92,78.5,62.14
1620.2,78.79,116.21
1623.25,79.06,41.1
1625.73,79.28,122.2
1628.16,79.49,67.59
1631.5,79.69,49.02
1633.67,79.82,46.44
1635,79.9,37.32
1638.34,80.1,34.01
1641.85,80.31,22.43
1645.19,80.51,22.67
1648.69,80.72,46.88
1653.7,81.02,132.76
1660.84,81.18,252.19
1666.15,81.29,247.17
1666.63,81.3,292.01
1671.45,81.4,65.83
1676.76,81.51,164.76
1682.06,81.62,76.35
1687.36,81.73,62.1
1692.67,81.84,75.33
1697.97,81.95,158.99
1703.28,82.06,188.73
1706.35,82.13,151.75
1707.65,82.18,323.82
1710.51,82.29,65.19
1713.37,82.4,25.58
1715.71,82.49,16.28
1718.31,82.59,18.91
1720.64,82.68,12.31
1723.24,82.78,38.3
1731.3,83.09,41.85
1732.34,83.13,52.38
1740.13,83.43,51.15
1746.11,83.66,127.78
1751.12,83.87,218.21
1755.88,84.08,122.24
1760.42,84.28,44.66
1765.86,84.52,38.15
1770.63,84.73,69.63
1773.35,84.85,35.07
1774.94,84.92,21.11
1777.21,85.02,28.28
1779.48,85.12,30.11
1781.75,85.22,37.07
1784.7,85.35,42.73
1789.24,85.55,82.94
1791.96,85.67,169.65
1793.77,85.75,144.06
1797.87,85.95,57.51
1801.94,86.15,55.7
1806.02,86.35,23.81
1810.09,86.55,54.17
1814.17,86.75,21.56
1818.24,86.95,33.84
1822.31,87.15,30.05
1822.72,87.17,20.11
1826.39,87.35,28.94
1830.46,87.55,14.03
1834.54,87.75,53.13
1838.61,87.95,11.92
1842.69,88.15,14.98
1846.76,88.35,15.01
1850.83,88.55,14.24
1853.28,88.67,35.16
1854.91,88.75,20.07
1858.98,88.95,23.49
1865.69,89.15,67.97
1873.28,89.35,79.12
1880.87,89.55,121.35
1886.19,89.69,108.53
1888.47,89.75,79.85
1890.36,89.8,117.21
1894.54,89.91,87.23
1898.71,90.02,188.39
1903.23,90.17,156.1
1905.18,90.24,86.47
1911.3,90.46,21.77
1917.42,90.68,43.31
1923.54,90.9,43.1
1929.66,91.12,27.31
1935.78,91.34,32.4
1941.34,91.54,72.93
1947.19,91.75,63.4
1953.15,91.96,144.2
1958.85,92.16,85.82
1964.83,92.37,122.04
1970.81,92.58,36.75
1976.51,92.78,57.44
1982.49,92.99,14.79
1988.47,93.2,40.96
1994.17,93.4,101.52
2000.15,93.61,74.08
2005.39,93.82,53.7
2009.12,94.02,70.82
2013.03,94.23,43.59
2016.94,94.44,129.05
2021.23,94.67,39.54
2023.46,94.79,23.28
2025.32,94.89,14.01
2025.7,94.91,28.97
2027.19,94.99,17.34
2029.05,95.09,12.87
2030.91,95.19,16.53
2034.64,95.39,7.91
2038.36,95.59,10.8
2042.09,95.79,18.69
2045.81,95.99,16.11
2048.71,96.19,12.73
2051.57,96.39,12.47
2051.86,96.41,20.51
2054.43,96.59,11.74
2057.29,96.79,15.64
2060.14,96.99,20.57
2063,97.19,50.92
2065.86,97.39,80
2068.71,97.59,82.09
2071.57,97.79,127.34
2073.89,97.91,223.01
2075.57,97.99,165.27
2079.76,98.19,183.24
2083.96,98.39,96.25
2088.15,98.59,31.65
2092.35,98.79,37.72
2096.54,98.99,89.26
2100.74,99.19,78.86
2104.94,99.39,62.58
2105.36,99.41,48.92
2109.13,99.59,39.63
2113.33,99.79,53.36
2117.52,99.99,146.86
2121.72,100.19,89.44
2125.91,100.39,68.59
2130.11,100.59,23.06
2131.58,100.66,29.37
2133.89,100.77,26.61
2135.77,100.86,37.1
2140.6,101.09,58.38
2144.79,101.29,127.24
2148.57,101.47,171.07
2152.65,101.66,419.43
2157.57,101.86,467.86
2162.24,102.05,248.13
2167.16,102.25,61.88
2171.84,102.44,228.45
2176.76,102.64,32.99
2181.43,102.83,31.85
2186.35,103.03,28.48
2191.02,103.22,47.78
2195.94,103.42,229.63
2200.43,103.61,135.48
2202.5,103.73,113.87
2203.89,103.81,89.59
2207.17,104,80.75
2210.63,104.2,70.92
2214.08,104.4,128.73
2217.36,104.59,61.81
2220.82,104.79,34.47
2224.1,104.98,54.87
2227.56,105.18,49.19
2227.9,105.2,62.56
2232.22,105.45,161.77
2233.95,105.55,193.48
2235.68,105.65,265.56
2239.14,105.85,265.78
2240.88,105.95,272.3
2242.65,106.05,169.01
2244.41,106.15,142.75
2246.53,106.27,110.74
2247.94,106.35,114.49
2251.47,106.55,100.03
2255,106.75,53.98
2256.76,106.85,21.17
2260.29,107.05,22.35
2263.82,107.25,27.86
2267.35,107.45,36.3
2272.65,107.75,156.57
2273,107.77,140.57
2279.71,108.15,359.04
2285.99,108.45,211.53
2288.33,108.55,43.44
2293.02,108.75,10.52
2295.37,108.85,117.81
2300.06,109.05,87.02
2304.75,109.25,70.17
2305.22,109.27,32.77
2309.44,109.45,79.27
2314.14,109.65,105.47
2318.83,109.85,66.12
2322.3,110.05,73.1
2325.37,110.25,137.26
2328.43,110.45,50.61
2331.5,110.65,58
2333.34,110.77,48.7
2334.57,110.85,20.56
2337.63,111.05,29.9
2340.7,111.25,35.23
2343.77,111.45,39.25
2345.3,111.55,99.52
2354.35,112.14,155.18
2355.73,112.23,187.74
2356.04,112.25,199.46
2358.87,112.41,98.23
2363.49,112.58,55.83
2367.85,112.74,50.42
2372.47,112.91,27.4
2376.83,113.07,30.06
2381.45,113.24,41.03
2388.26,113.49,64.56
2388.8,113.51,38.17
2392.61,113.65,40.8
2397.24,113.82,34.1
2407.21,114.23,29.2
2410.58,114.4,25.58
2413.96,114.57,19.42
2417.14,114.73,49.88
2417.54,114.75,23.14
2420.52,114.9,89.3
2424.69,115.11,105
2428.66,115.31,110.67
2432.24,115.49,146.79
2435.62,115.66,333.05
2439.73,115.84,190.88
2443.68,116.01,172.52
2446.23,116.12,166.6
2448.55,116.22,150.9
2453.19,116.42,80.5
2455.51,116.52,49.61
2457.83,116.62,51.65
2460.15,116.72,26.9
2464.79,116.92,29.45
2469.44,117.12,47.24
2469.9,117.14,20.22
2474.08,117.32,37.44
2478.72,117.52,67.33
2478.72,117.52,43.29
2483.36,117.72,232.66
2488,117.92,232.82
2491.47,118.12,135.31
2494.94,118.32,60.74
2498.41,118.52,70.52
2500.49,118.64,14.04
2501.88,118.72,28.3
2505.35,118.92,35.47
2508.82,119.12,69.97
2512.29,119.32,134.76
2515.76,119.52,282.65
2519.22,119.72,434.32
2522.81,119.92,333.6
2526.84,120.12,353.4
2527.25,120.14,314.7
2530.88,120.32,284.42
2534.92,120.52,102.57
2538.95,120.72,44.45
2542.99,120.92,37.38
2547.03,121.12,18.23
2551.06,121.32,15.25
2555.1,121.52,8.92
2557.52,121.64,44.76
2559.14,121.72,23.87
2563.17,121.92,28.11
2567.22,122.12,32.6
2571.29,122.32,24.64
2575.37,122.52,19.34
2577.4,122.62,20.63
2579.44,122.72,21.99
2581.47,122.82,32.25
2584.93,122.99,34.24
2585.14,123,37.08
2589.21,123.2,56.19
2593.89,123.43,88.25
2598.57,123.66,251.86
2604.07,123.89,301.67
2607.12,124.01,198.8
2609.91,124.12,125.49
2616.27,124.37,47.6
2619.31,124.49,43.01
2619.31,124.49,20.85
2621.6,124.58,30.59
2621.86,124.59,18.89
2624.4,124.69,27.61
2632.02,124.99,27.02
