Age (ka),  Alkanol Depth (amcd),Alkanol (ng/g)
2068.71,97.59,35
2071.57,97.79,170
2075.57,97.99,109
2083.96,98.39,80
2096.54,98.99,33
2117.52,99.99,67
2125.91,100.39,13
2130.11,100.59,14
2135.77,100.86,11
2144.79,101.29,55
2148.57,101.47,79
2157.57,101.86,214
2162.24,102.05,167
2171.84,102.44,23
2176.76,102.64,13
2181.43,102.83,18
2186.35,103.03,11
2195.94,103.42,106
2207.17,104,28
2214.08,104.4,22
2220.82,104.79,0
2227.56,105.18,25
2232.22,105.45,36
2240.88,105.95,130
2242.65,106.05,116
2247.94,106.35,28
2251.47,106.55,8
2260.29,107.05,12
2272.65,107.75,50
2279.71,108.15,188
2285.99,108.45,49
2295.37,108.85,16
2309.44,109.45,23
2322.3,110.05,30
2325.37,110.25,76
2328.43,110.45,27
2334.57,110.85,7
2343.77,111.45,29
2354.35,112.14,97
2358.87,112.41,61
2367.85,112.74,14
2381.45,113.24,31
2392.61,113.65,23
2407.21,114.23,10
2410.58,114.4,10
2413.96,114.57,5
2420.52,114.9,63
2424.69,115.11,84
2428.66,115.31,102
2435.62,115.66,152
2439.73,115.84,160
2448.55,116.22,110
2453.19,116.42,26
2464.79,116.92,12
2469.44,117.12,7
2478.72,117.52,32
2483.36,117.72,101
2488,117.92,141
2494.94,118.32,47
2498.41,118.52,13
2501.88,118.72,8
2505.35,118.92,16
2512.29,119.32,59
2519.22,119.72,334
2526.84,120.12,206
2530.88,120.32,114
2542.99,120.92,8
2547.03,121.12,6
2555.1,121.52,9
2579.44,122.72,8
2584.93,122.99,15
2598.57,123.66,128
2604.07,123.89,133
2607.12,124.01,145
2609.91,124.12,80
2619.31,124.49,19
2632.02,124.99,12
2642.19,125.39,40
2658.42,126.09,9
2662.94,126.29,12
2676.48,126.89,7
2681,127.09,20
2687.77,127.39,70
2691.02,127.59,52
2700.57,128.19,44
2710.11,128.79,70
2714.89,129.09,93
2716.73,129.19,127
2721.61,129.39,74
2728.93,129.69,67
2738.68,130.09,13
2750.88,130.59,7
2765.51,131.19,19
2775.27,131.59,10
2789.9,132.19,11
2798.93,132.56,35
2804.05,132.77,26
2809.05,132.97,48
2818.98,133.36,7
2829.16,133.76,5
2838.58,134.13,8
2848.44,134.52,24
2864,135.22,8
2878.67,135.88,17
2882.89,136.07,14
2891.59,136.46,9
2900.75,136.87,8
2920.64,137.76,24
2935.8,138.46,28
2948.59,139.06,8
2965.64,139.86,7
2982.4,140.66,29
3000.4,141.56,15
3017.6,142.42,40
3030.64,143.06,12
3044.09,143.72,23
3048.57,143.94,21
3063.16,144.53,13
3078.86,145.15,8
3086.46,145.45,8
3100.01,145.91,6
3114.41,146.37,6
3128.8,146.83,14
3137.96,147.15,33
3146.43,147.54,9
3153.39,147.86,5
3172.96,148.76,9
3182.86,149.16,6
3198.68,149.76,6
3209.23,150.16,4
3225.05,150.76,6
3254.07,151.86,11
3269.89,152.46,6
3280.44,152.86,20
3290.99,153.26,37
3298.62,153.58,42
3303.06,153.8,23
3307.5,154.02,27
3318.61,154.57,7
3327.49,155.01,5
3335.36,155.4,3
3339.19,155.59,5
3350.72,155.89,6
3375.46,156.49,10
3394.46,157.27,5
3412.16,158.09,17
3424.89,158.68,7
3433.53,159.08,15
3444.75,159.6,4
3462.02,160.4,13
