Age (ka),  SST Depth (amcd),SST (°C)
694.12,34.01,17.84
694.5,34.03,17.23
694.87,34.05,17.01
695.24,34.07,15.86
695.61,34.09,17.42
695.98,34.11,17.76
696.35,34.13,16.19
696.73,34.15,17.88
697.1,34.17,17.66
697.47,34.19,17.41
697.84,34.21,18.01
698.21,34.23,18.21
698.58,34.25,19.08
698.96,34.27,18.12
699.33,34.29,18.79
699.7,34.31,18.47
700.07,34.33,18.77
700.44,34.35,18.21
700.81,34.37,18
701.19,34.39,17.28
701.56,34.41,18.12
701.93,34.43,18.68
702.3,34.45,19.7
702.67,34.47,17.6
703.04,34.49,18.74
703.42,34.51,17.46
703.79,34.53,17.93
704.16,34.55,16.33
704.53,34.57,17.85
704.9,34.59,18.87
705.28,34.61,18.08
705.65,34.63,17.88
706.02,34.65,16.98
706.39,34.67,17.54
706.76,34.69,17.97
707.13,34.71,17.87
707.51,34.73,17.45
707.88,34.75,16.34
708.25,34.77,15.74
708.62,34.79,16.22
708.99,34.81,16.14
709.36,34.83,13.87
709.74,34.85,12.23
710.11,34.87,12.51
710.48,34.89,10.76
710.85,34.91,11.42
711.22,34.93,10.38
711.6,34.95,11.76
711.97,34.97,9.38
712.34,34.99,10.3
712.71,35.01,11.93
713.08,35.03,12.15
713.45,35.05,12.55
713.82,35.07,13.1
714.2,35.09,12.28
714.57,35.11,12.39
714.94,35.13,12.25
715.31,35.15,13.72
715.68,35.17,13.88
716.06,35.19,13.67
716.43,35.21,15.45
716.85,35.23,15.43
717.68,35.27,15.52
718.1,35.29,15.45
718.52,35.31,15.73
718.94,35.33,15.54
719.36,35.35,15.71
719.77,35.37,15.8
720.19,35.39,15.2
720.61,35.41,17.01
721.03,35.43,15.5
721.45,35.45,15.52
721.87,35.47,15.63
722.28,35.49,15.53
722.7,35.51,16.78
723.12,35.53,15.99
723.54,35.55,16.13
723.96,35.57,16.15
724.37,35.59,15.84
724.79,35.61,16.69
725.21,35.63,16.27
725.63,35.65,16.13
726.05,35.67,16.55
726.47,35.69,15.96
726.88,35.71,16.9
727.3,35.73,16.69
727.72,35.75,16.38
728.14,35.77,16.76
728.56,35.79,16.45
728.97,35.81,17.42
729.39,35.83,17.61
730.23,35.87,16.93
730.65,35.89,17.45
731.07,35.91,17.72
731.48,35.93,16.95
731.9,35.95,16.86
732.32,35.97,15.99
732.74,35.99,16.11
733.16,36.01,15.48
733.57,36.03,14.78
733.99,36.05,17.13
734.41,36.07,16.6
734.83,36.09,16.94
735.25,36.11,17.95
735.67,36.13,16.81
736.08,36.15,17.19
736.29,36.16,16.55
736.5,36.17,16.67
736.71,36.18,17.85
736.92,36.19,17.07
737.13,36.2,16.99
737.34,36.21,17.62
737.55,36.22,16.97
737.76,36.23,16.91
737.97,36.24,17.21
738.18,36.25,15.14
738.38,36.26,17.26
738.59,36.27,16.91
739.01,36.29,16.43
739.01,36.29,16.77
739.43,36.31,17.77
739.43,36.31,18.46
739.85,36.33,16.52
740.06,36.34,17.09
740.27,36.35,17.67
740.68,36.37,17.27
740.68,36.37,16.56
741.31,36.4,15.44
741.52,36.41,16.57
741.73,36.42,13.57
741.94,36.43,15.88
742.36,36.45,15.69
742.36,36.45,13
742.78,36.47,14.46
742.99,36.48,14.81
743.19,36.49,14.35
743.4,36.5,15.04
743.61,36.51,12.68
744.03,36.53,13.92
744.03,36.53,13.84
744.45,36.55,13.61
744.66,36.56,13.83
744.87,36.57,14.42
745.08,36.58,14.67
745.28,36.59,14.91
745.7,36.61,14.15
745.7,36.61,14.59
746.12,36.63,13.87
746.12,36.63,13.83
746.54,36.65,12.99
746.96,36.67,12.44
747.37,36.69,13.27
748,36.72,13.66
748.42,36.74,14.04
748.84,36.76,14.14
749.26,36.78,14.7
749.68,36.8,14.83
750.09,36.82,14.93
750.51,36.84,15.55
750.93,36.86,14.91
751.35,36.88,15.41
751.98,36.91,15.26
752.39,36.93,15.96
752.81,36.95,15.82
753.23,36.97,14.37
753.65,36.99,14.83
754.07,37.01,14.26
754.49,37.03,15.17
754.9,37.05,14.38
755.32,37.07,14.98
755.74,37.09,14.62
756.16,37.11,16.09
756.37,37.12,17.17
756.79,37.14,14.4
756.99,37.15,14.93
757.41,37.17,14.8
757.83,37.19,14.86
758.04,37.2,14.8
758.46,37.22,15.03
758.88,37.24,15.76
759.09,37.25,14.88
759.5,37.27,15.57
759.71,37.28,14.97
760.13,37.3,16.17
760.55,37.32,16.47
760.76,37.33,15.93
761.18,37.35,16.04
761.8,37.38,16.26
762.43,37.41,16.06
763.06,37.44,15.3
763.69,37.47,16.39
764.31,37.5,18.16
764.73,37.52,16.59
765.36,37.55,17.76
766.61,37.61,16.45
767.24,37.64,16.11
767.87,37.67,15.21
768.49,37.7,15.64
769.12,37.73,14.89
769.54,37.75,14.45
770.17,37.78,13.59
770.59,37.8,15.01
771,37.82,15.98
771.42,37.84,16
771.84,37.86,16.96
772.26,37.88,16.15
772.68,37.9,16.64
773.1,37.92,15.85
773.74,37.95,16.3
774.18,37.97,16.68
774.63,37.99,16.39
775.08,38.01,15.88
775.52,38.03,14.61
775.97,38.05,16.24
776.42,38.07,16.27
776.86,38.09,15.84
777.53,38.12,16.83
777.98,38.14,16.57
778.42,38.16,17.21
778.95,38.18,15.92
779.51,38.2,16.16
780.12,38.22,16.32
780.82,38.24,16.86
781.52,38.26,16.61
782.56,38.29,16.26
783.26,38.31,17.37
783.96,38.33,16.67
785.35,38.37,16.16
786.05,38.39,16.24
786.75,38.41,16.49
787.44,38.43,15.22
788.49,38.46,16.26
789.19,38.48,13.76
789.88,38.5,13.46
790.58,38.52,14.7
791.28,38.54,13.63
791.97,38.56,12.02
792.64,38.58,13.59
793.19,38.6,13.69
793.98,38.63,10.26
794.42,38.65,10.69
794.87,38.67,11.19
795.32,38.69,10.28
795.76,38.71,13.28
796.21,38.73,13.23
796.65,38.75,11.8
797.1,38.77,13.88
797.55,38.79,13.79
797.99,38.81,12.96
798.44,38.83,13.44
798.88,38.85,12.6
799.3,38.87,12.93
799.72,38.89,11.29
799.93,38.9,12.77
800.35,38.92,12.18
800.76,38.94,13
801.18,38.96,12.92
801.6,38.98,13.41
802.02,39,12.19
802.44,39.02,12.68
802.83,39.04,13.34
803.2,39.06,13.48
803.57,39.08,13.7
803.95,39.1,13.22
804.32,39.12,13.79
804.69,39.14,12.63
805.06,39.16,12.23
805.43,39.18,11.94
805.8,39.2,12.64
806.18,39.22,12.77
806.55,39.24,12.17
806.92,39.26,12.19
807.29,39.28,12.73
807.66,39.3,13.55
808.04,39.32,13.32
808.41,39.34,12.9
808.78,39.36,12.83
809.15,39.38,12.74
809.52,39.4,12.41
809.9,39.42,12.58
810.27,39.44,12.94
810.64,39.46,12.76
811.01,39.48,13.4
811.38,39.5,12.4
811.75,39.52,13.38
812.12,39.54,13.15
812.5,39.56,13.61
812.87,39.58,14.15
813.24,39.6,13.55
813.61,39.62,13.56
813.98,39.64,13.51
814.36,39.66,13.46
814.73,39.68,13.86
815.1,39.7,14.17
815.47,39.72,15.75
815.84,39.74,13.79
816.21,39.76,13.45
816.59,39.78,13.49
816.96,39.8,13.06
817.33,39.82,14.28
817.7,39.84,14.65
818.07,39.86,14.62
818.44,39.88,14.81
818.82,39.9,14.93
819.19,39.92,15.07
819.56,39.94,14.94
819.93,39.96,14.78
820.3,39.98,15.31
820.71,40,15.53
821.13,40.02,14.97
821.55,40.04,15.39
821.96,40.06,15.55
822.38,40.08,15.46
822.8,40.1,15.26
823.22,40.12,15.67
823.64,40.14,15.85
824.06,40.16,15.67
824.49,40.18,15.7
824.94,40.2,15.74
825.38,40.22,15.96
825.83,40.24,15.77
826.28,40.26,14.7
826.72,40.28,15.91
827.17,40.3,16.21
827.61,40.32,14.95
828.06,40.34,14.35
828.51,40.36,16.89
828.95,40.38,13.76
829.43,40.4,16.29
829.99,40.42,14.5
830.55,40.44,15.18
831.1,40.46,15.74
831.66,40.48,15.67
832.22,40.5,15.14
832.78,40.52,16.12
833.33,40.54,15.8
833.89,40.56,17.93
834.45,40.58,16.02
835.01,40.6,15.37
835.56,40.62,16.58
836.12,40.64,17.13
836.68,40.66,16.72
837.24,40.68,16.55
838.07,40.71,17.85
838.63,40.73,17.21
839.19,40.75,16.1
839.75,40.77,16.23
840.3,40.79,15.86
840.86,40.81,15.45
841.42,40.83,16.91
841.98,40.85,17.12
842.53,40.87,15.99
843.09,40.89,16.32
843.65,40.91,17.48
844.21,40.93,17.28
845.32,40.97,16.73
845.88,40.99,16.75
846.44,41.01,17.13
847.55,41.05,17.09
848.11,41.07,17.16
848.67,41.09,17.55
849.23,41.11,17.51
849.78,41.13,15.31
850.34,41.15,16.18
851.46,41.19,14.81
852.01,41.21,15.08
852.57,41.23,16.15
853.13,41.25,16.37
853.69,41.27,15.75
854.24,41.29,17.26
854.8,41.31,16.47
855.36,41.33,15.86
855.92,41.35,16.64
856.47,41.37,16.61
857.03,41.39,17.5
857.59,41.41,19.46
858.15,41.43,17.06
858.7,41.45,17.77
859.26,41.47,16.67
859.82,41.49,18.16
860.66,41.52,17.48
861.21,41.54,16.44
861.77,41.56,16.27
862.33,41.58,16.37
862.89,41.6,15.43
863.44,41.62,16.68
864,41.64,14.97
864.56,41.66,12.26
865.12,41.68,14.52
865.68,41.7,15.38
866.23,41.72,11.55
866.79,41.74,11.51
867.35,41.76,10.96
867.91,41.78,11.48
868.46,41.8,13.42
869.02,41.82,12.9
870.69,41.88,14.26
871.53,41.91,12.85
872.09,41.93,13.56
873.2,41.97,13.44
873.76,41.99,12.08
874.32,42.01,11.93
874.88,42.03,12.65
875.99,42.07,13.38
876.55,42.09,12.61
877.1,42.11,13.5
877.62,42.13,12.94
878.29,42.16,13.44
878.74,42.18,12.07
879.18,42.2,12.8
879.63,42.22,12.84
880.52,42.26,13.01
880.97,42.28,13.78
881.86,42.32,14.63
882.75,42.36,13.2
882.97,42.37,15.11
883.42,42.39,13.7
883.87,42.41,14.27
884.76,42.45,10.9
885.2,42.47,12.82
885.65,42.49,10.89
886.1,42.51,11.36
886.99,42.55,10.42
887.43,42.57,13.34
887.88,42.59,12.64
888.33,42.61,11.19
889,42.64,13.16
889.44,42.66,13.45
889.89,42.68,11.74
890.33,42.7,12.91
891.23,42.74,13.54
891.67,42.76,13.47
892.12,42.78,12.89
892.56,42.8,12.57
893.46,42.84,13.7
893.68,42.85,14.1
894.13,42.87,13.76
894.57,42.89,14.18
895.46,42.93,15.17
895.91,42.95,14.67
896.36,42.97,14.2
896.8,42.99,14.82
897.69,43.03,15.22
898.14,43.05,15.48
898.59,43.07,15.74
898.81,43.08,15.5
899.7,43.12,15.27
900.15,43.14,15.61
900.59,43.16,15.25
901.04,43.18,15.38
901.93,43.22,14.64
902.38,43.24,16.05
902.82,43.26,16.74
903.27,43.28,15.72
903.94,43.31,15.33
904.39,43.33,15.53
904.83,43.35,15.99
905.28,43.37,15.32
906.17,43.41,13.87
906.62,43.43,13.48
907.06,43.45,13.93
907.51,43.47,13.86
908.4,43.51,14.72
908.85,43.53,15.21
909.29,43.55,14.96
909.52,43.56,15.45
910.41,43.6,16.24
910.85,43.62,16.01
911.3,43.64,15.42
911.75,43.66,15.89
912.64,43.7,15.61
913.08,43.72,15.91
913.53,43.74,16.44
913.98,43.76,16.42
914.87,43.8,16.85
915.32,43.82,15.26
915.76,43.84,13.83
916.21,43.86,13.59
917.1,43.9,13.01
917.55,43.92,12.89
917.99,43.94,12.84
918.44,43.96,13.12
919.33,44,12.5
919.78,44.02,12.69
920.22,44.04,12.76
920.67,44.06,12.88
921.56,44.1,12.37
922.01,44.12,12.76
922.45,44.14,13.65
922.9,44.16,13.62
924.24,44.21,13.83
924.8,44.23,14.44
925.36,44.25,14.54
925.92,44.27,15.04
927.03,44.31,13.57
927.59,44.33,14.36
928.15,44.35,13.77
928.7,44.37,13.82
929.82,44.41,15.2
930.38,44.43,14.59
930.93,44.45,14.59
931.49,44.47,13.29
932.61,44.51,11.13
933.16,44.53,14.02
933.72,44.55,14.35
934.28,44.57,14.92
935.39,44.61,14
935.95,44.63,15.72
936.79,44.66,15.86
937.35,44.68,17.4
938.46,44.72,15.2
939.02,44.74,15.49
939.58,44.76,16.08
940.13,44.78,15.21
941.25,44.82,15.44
941.81,44.84,15.54
942.36,44.86,16.64
942.92,44.88,14.11
944.04,44.92,16.52
944.6,44.94,14.8
945.15,44.96,17.16
945.71,44.98,17.35
946.83,45.02,16.63
947.38,45.04,16.91
947.94,45.06,15.95
948.78,45.09,17.2
949.89,45.13,18.27
950.45,45.15,15.24
951.01,45.17,16.69
951.57,45.19,15.66
952.68,45.23,16.48
953.24,45.25,17.48
953.8,45.27,17.77
955.47,45.33,18.26
956.03,45.35,18.26
956.58,45.37,19.77
957.14,45.39,19
957.42,45.4,20.01
957.98,45.42,19.2
958.26,45.43,19.7
958.54,45.44,19.22
958.81,45.45,17.64
959.09,45.46,20.24
959.37,45.47,20.27
959.65,45.48,18.12
960.21,45.5,19.1
960.21,45.5,20.28
960.76,45.52,18.45
961.32,45.54,19.89
961.32,45.54,16.87
961.88,45.56,16.43
962.29,45.58,19.92
963.11,45.62,19.91
963.51,45.64,15.85
963.92,45.66,16.09
964.33,45.68,15.51
965.15,45.72,13.01
965.55,45.74,13.84
965.96,45.76,11.8
967.19,45.82,14.55
968,45.86,15.63
970.04,45.96,17.52
972.08,46.06,18.21
974.12,46.16,18.12
976.16,46.26,18.98
978.21,46.36,17.57
980.25,46.46,15.09
982.29,46.56,16.58
984.33,46.66,17.08
985.96,46.74,16.31
987.59,46.82,12.98
989.25,46.92,16.06
990.2,46.98,16.37
991.76,47.08,17.19
993.02,47.16,17
994.27,47.24,16.58
995.53,47.32,16.74
996.47,47.38,16.65
998.04,47.48,17.48
1001.18,47.68,17.94
1004.46,47.88,13.78
1006.76,47.98,17.6
1011.35,48.18,18.31
1013.65,48.28,13.65
1018.25,48.48,17.23
1020.55,48.58,16.53
1022.85,48.68,13.8
1025.14,48.78,16.81
1034.57,49.19,18.79
1038.67,49.37,15.73
1042.14,49.53,17.36
1045.62,49.69,16.98
1048.88,49.84,17.73
1052.36,50,16.6
1059.31,50.32,13.44
1062.57,50.47,14.46
1066.49,50.65,17.28
1070.18,50.82,19.33
1072.14,50.91,17.76
1073.88,50.99,18.28
1081.26,51.33,17.89
1085.61,51.53,18.72
1089.96,51.73,18.59
1094.31,51.93,17.7
1098.71,52.13,9.7
1103.46,52.33,15.26
1108.2,52.53,18.81
1112.95,52.73,17.58
1117.69,52.93,16.83
1122.44,53.13,16.07
1127.22,53.33,14.07
1132.08,53.53,15.54
1136.95,53.73,11.27
1141.81,53.93,12.73
1146.68,54.13,16.32
1149.11,54.23,15.48
1156.41,54.53,19.09
1161.27,54.73,19.48
1166.14,54.93,19.26
1171,55.13,19.2
1175.86,55.33,19.7
1180.73,55.53,19.64
1185.59,55.73,18.66
1190.46,55.93,17.94
1195.32,56.13,17.02
1199.79,56.33,16.02
1203.76,56.53,16.47
1207.74,56.73,16.36
1211.71,56.93,16.81
1215.69,57.13,15.09
1219.66,57.33,14.53
1223.64,57.53,14.14
1227.61,57.73,14.32
1231.59,57.93,17.33
1231.98,57.95,18.88
1234.57,58.08,18.49
1236.56,58.18,18.66
1238.54,58.28,18.23
1240.53,58.38,17.91
1244.51,58.58,15.48
1247.09,58.71,11.1
1248.66,58.79,13.66
1252.53,58.99,11.91
1256.6,59.2,14.56
1260.86,59.42,12.47
1265.12,59.64,16.22
1269.19,59.85,16.41
1273.45,60.07,17.71
1276.93,60.25,17.2
1277.32,60.27,17.4
1280.61,60.44,17.06
1284.1,60.62,16.42
1287.78,60.81,15.85
1291.67,60.99,12.86
1296.28,61.17,10.7
1301.15,61.36,17.36
1305.76,61.54,17.36
1308.58,61.65,17.83
1310.63,61.73,18.46
1315.24,61.91,19.5
1319.85,62.09,18.19
1324.72,62.28,18.48
1329.33,62.46,17.72
1333.94,62.64,15.85
1339.08,62.92,14.35
1341.24,63.06,15.22
1341.7,63.09,14.37
1344.94,63.3,16.64
1348.03,63.5,19.07
1351.11,63.7,18.92
1354.2,63.9,19.2
1357.29,64.1,20.28
1360.37,64.3,21.01
1363.46,64.5,19.49
1365.31,64.62,19.23
1366.54,64.7,19.22
1369.63,64.9,18.48
1372.89,65.1,16.36
1374.81,65.2,15.61
1378.06,65.37,17.68
1379.98,65.47,16.5
1383.82,65.67,17.71
1387.65,65.87,18.41
1389.95,65.99,15.88
1391.49,66.07,18.66
1395.32,66.27,16.85
1399.15,66.47,17.44
1402.99,66.67,18.1
1406.82,66.87,15.42
1410.66,67.07,17.62
1422.23,67.47,17.87
1422.85,67.49,17.5
1428.42,67.67,19.84
1434.62,67.87,18.63
1440.82,68.07,20.16
1447.01,68.27,20.2
1453.21,68.47,13.7
1458.28,68.67,13.7
1462.41,68.87,16.04
1464.9,68.99,16.97
1466.55,69.07,17.2
1470.69,69.27,17.59
1474.83,69.47,17.82
1478.97,69.67,20.45
1483.11,69.87,20.17
1487.24,70.07,20.17
1489.31,70.17,19.93
1491.18,70.26,19.46
1493.25,70.36,18.29
1497.26,70.56,15.35
1501.03,70.76,17.71
1504.99,70.97,17.21
1508.76,71.17,16.72
1511.02,71.29,16.04
1512.53,71.37,16.14
1516.3,71.57,19.28
1520.07,71.77,21.16
1523.84,71.97,19.6
1531.38,72.37,15.87
1535.33,72.58,16.71
1539.1,72.78,16.28
1539.48,72.8,15.46
1542.67,72.98,16.27
1544.43,73.08,15.84
1546.18,73.18,17.38
1549.51,73.37,17.53
1552.85,73.56,18.27
1554.6,73.66,18.31
1556.18,73.75,16.94
1557.76,73.84,17.91
1559.51,73.94,18.27
1562.84,74.13,18.63
1564.42,74.22,19.64
1564.77,74.24,18.11
1566,74.31,19.09
1567.76,74.41,18.64
1569.51,74.51,19.42
1571.09,74.6,18.9
1571.26,74.61,18.97
1573.02,74.71,18.74
1574.77,74.81,18.26
1576.34,74.91,18.66
1578.6,75.11,18.85
1580.86,75.31,19.26
1583.12,75.51,18.41
1585.38,75.71,19.14
1587.64,75.91,16.53
1588.77,76.01,17.44
1589.9,76.11,18.2
1592.16,76.31,18.7
1593.29,76.41,18.86
1594.42,76.51,19.77
1595.55,76.61,18.99
1596.69,76.71,19.13
1598.95,76.91,19.18
1602.56,77.23,19.64
1604.6,77.41,18.57
1605.73,77.51,17.06
1608.67,77.77,16.91
1610.36,77.92,17.23
1610.7,77.95,18.46
1611.94,78.06,18.12
1613.64,78.21,18.32
1616.92,78.5,18.35
1620.2,78.79,17.42
1623.25,79.06,18.23
1625.73,79.28,15.99
1628.16,79.49,18.77
1631.5,79.69,18.67
1633.67,79.82,18.5
1635,79.9,21.26
1638.34,80.1,21.09
1641.85,80.31,19.83
1645.19,80.51,20.22
1648.69,80.72,20
1653.7,81.02,18.57
1660.84,81.18,17.33
1666.15,81.29,16.9
1666.63,81.3,14.5
1671.45,81.4,18.52
1676.76,81.51,15.41
1682.06,81.62,16.47
1687.36,81.73,17.98
1692.67,81.84,19.61
1697.97,81.95,17.78
1703.28,82.06,17.71
1706.35,82.13,18.42
1707.65,82.18,17.41
1710.51,82.29,18.72
1713.37,82.4,19.6
1715.71,82.49,19.68
1718.31,82.59,20.09
1720.64,82.68,18.77
1723.24,82.78,18.13
1731.3,83.09,17.21
1732.34,83.13,17.09
1740.13,83.43,17.68
1746.11,83.66,16.62
1751.12,83.87,17
1755.88,84.08,16.75
1760.42,84.28,17.52
1765.86,84.52,17.8
1770.63,84.73,16.74
1773.35,84.85,19.71
1774.94,84.92,19.72
1777.21,85.02,18.33
1779.48,85.12,19.39
1781.75,85.22,17.91
1784.7,85.35,18.74
1789.24,85.55,18.09
1791.96,85.67,14.63
1793.77,85.75,15.39
1797.87,85.95,17.09
1801.94,86.15,17.63
1806.02,86.35,18.23
1810.09,86.55,18.16
1814.17,86.75,19.55
1818.24,86.95,18.51
1822.31,87.15,18.53
1822.72,87.17,18.9
1826.39,87.35,18.7
1830.46,87.55,17.91
1834.54,87.75,19.37
1838.61,87.95,20.05
1842.69,88.15,20.4
1846.76,88.35,19.23
1850.83,88.55,19.45
1853.28,88.67,18.6
1854.91,88.75,18.4
1858.98,88.95,18.18
1865.69,89.15,17.23
1873.28,89.35,17.6
1880.87,89.55,17.02
1886.19,89.69,17.22
1888.47,89.75,17.63
1890.36,89.8,18.1
1894.54,89.91,18.18
1898.71,90.02,17.12
1903.23,90.17,15.78
1905.18,90.24,17.08
1911.3,90.46,17.95
1917.42,90.68,19.05
1923.54,90.9,18.8
1929.66,91.12,18.93
1935.78,91.34,20.42
1941.34,91.54,18.18
1947.19,91.75,17.58
1953.15,91.96,16.57
1958.85,92.16,17.28
1964.83,92.37,17.1
1970.81,92.58,19
1976.51,92.78,21.68
1982.49,92.99,20.42
1988.47,93.2,19.51
1994.17,93.4,15.66
2000.15,93.61,15.55
2005.39,93.82,17.48
2009.12,94.02,15.77
2013.03,94.23,17.36
2016.94,94.44,18.67
2021.23,94.67,18.31
2023.46,94.79,23.2
2025.32,94.89,20.61
2025.7,94.91,19.02
2027.19,94.99,22.72
2029.05,95.09,21.45
2030.91,95.19,19.89
2034.64,95.39,17.41
2038.36,95.59,21.15
2042.09,95.79,19.95
2045.81,95.99,17.83
2048.71,96.19,18.86
2051.57,96.39,18.97
2051.86,96.41,18.29
2054.43,96.59,19.46
2057.29,96.79,19.5
2060.14,96.99,17.17
2063,97.19,17.7
2065.86,97.39,14.71
2068.71,97.59,17.18
2071.57,97.79,14.92
2073.89,97.91,15.9
2075.57,97.99,14.46
2079.76,98.19,14.88
2083.96,98.39,15.42
2088.15,98.59,16.76
2092.35,98.79,16.7
2096.54,98.99,14.62
2100.74,99.19,16.35
2104.94,99.39,16.04
2105.36,99.41,17.13
2109.13,99.59,16.53
2113.33,99.79,17.5
2117.52,99.99,16.1
2121.72,100.19,16.17
2125.91,100.39,18.54
2130.11,100.59,19
2131.58,100.66,17.9
2133.89,100.77,20.02
2135.77,100.86,18.56
2140.6,101.09,16.91
2144.79,101.29,15.71
2148.57,101.47,15.72
2152.65,101.66,15.33
2157.57,101.86,14.78
2162.24,102.05,15.95
2167.16,102.25,18.37
2171.84,102.44,19.79
2176.76,102.64,19.87
2181.43,102.83,18.21
2186.35,103.03,18.31
2191.02,103.22,17.32
2195.94,103.42,15.62
2200.43,103.61,17.79
2202.5,103.73,17.92
2203.89,103.81,18.32
2207.17,104,17.67
2210.63,104.2,19.38
2214.08,104.4,18.16
2217.36,104.59,18.38
2220.82,104.79,19.91
2224.1,104.98,20.21
2227.56,105.18,21.07
2227.9,105.2,19.39
2232.22,105.45,18.08
2233.95,105.55,18.06
2235.68,105.65,17.18
2239.14,105.85,16.1
2240.88,105.95,16.79
2242.65,106.05,18.3
2244.41,106.15,16.98
2246.53,106.27,17.87
2247.94,106.35,16.75
2251.47,106.55,17.45
2255,106.75,20.88
2256.76,106.85,20.44
2260.29,107.05,19.99
2263.82,107.25,20.27
2267.35,107.45,19.07
2272.65,107.75,17.12
2273,107.77,18.49
2279.71,108.15,15.92
2285.99,108.45,16.65
2288.33,108.55,18.32
2293.02,108.75,20.71
2295.37,108.85,18.84
2300.06,109.05,17.66
2304.75,109.25,18.52
2305.22,109.27,19.01
2309.44,109.45,20.79
2314.14,109.65,17.62
2318.83,109.85,18.68
2322.3,110.05,18.44
2325.37,110.25,17.96
2328.43,110.45,16.37
2331.5,110.65,18.24
2333.34,110.77,20.76
2334.57,110.85,20.53
2337.63,111.05,19.35
2340.7,111.25,19.58
2343.77,111.45,18.71
2345.3,111.55,18.14
2354.35,112.14,18.76
2355.73,112.23,18.07
2356.04,112.25,17.27
2358.87,112.41,17.52
2363.49,112.58,18.46
2367.85,112.74,20.38
2372.47,112.91,20.36
2376.83,113.07,18.68
2381.45,113.24,19.23
2388.26,113.49,19.82
2388.8,113.51,18.98
2392.61,113.65,20.13
2397.24,113.82,20.13
2407.21,114.23,20.83
2410.58,114.4,20.26
2413.96,114.57,20.71
2417.14,114.73,19.6
2417.54,114.75,21.68
2420.52,114.9,20.75
2424.69,115.11,18.65
2428.66,115.31,17.57
2432.24,115.49,15.78
2435.62,115.66,15.87
2439.73,115.84,17
2443.68,116.01,17.95
2446.23,116.12,15.9
2448.55,116.22,17.19
2453.19,116.42,18.59
2455.51,116.52,17.72
2457.83,116.62,17.82
2460.15,116.72,21.4
2464.79,116.92,21.83
2469.44,117.12,19.79
2469.9,117.14,23.09
2474.08,117.32,18.63
2478.72,117.52,18.44
2478.72,117.52,19.63
2483.36,117.72,17.01
2488,117.92,17.68
2491.47,118.12,19.14
2494.94,118.32,17.15
2498.41,118.52,18.31
2500.49,118.64,19.63
2501.88,118.72,21.01
2505.35,118.92,19.04
2508.82,119.12,19.07
2512.29,119.32,16.21
2515.76,119.52,16.55
2519.22,119.72,12.96
2522.81,119.92,14.76
2526.84,120.12,15.48
2527.25,120.14,16.53
2530.88,120.32,17.76
2534.92,120.52,18.08
2538.95,120.72,18.9
2542.99,120.92,19.11
2547.03,121.12,19.74
2551.06,121.32,19.08
2555.1,121.52,17.73
2557.52,121.64,19.99
2559.14,121.72,19.27
2563.17,121.92,19.08
2567.22,122.12,18.02
2571.29,122.32,19.39
2575.37,122.52,22.59
2577.4,122.62,18.65
2579.44,122.72,20.28
2581.47,122.82,22.52
2584.93,122.99,19.22
2585.14,123,20.25
2589.21,123.2,20.2
2593.89,123.43,19.11
2598.57,123.66,17.25
2604.07,123.89,17.39
2607.12,124.01,16.64
2609.91,124.12,17.48
2616.27,124.37,19.48
2619.31,124.49,19.73
2619.31,124.49,20.77
2621.6,124.58,19.74
2621.86,124.59,19.61
2624.4,124.69,19.59
2632.02,124.99,19.36
2637.1,125.19,19.49
2642.19,125.39,19.97
2644.73,125.49,19.78
2647.13,125.59,18.21
2649.84,125.71,19.13
2651.65,125.79,18.58
2656.16,125.99,20.75
2658.42,126.09,19.66
2660.68,126.19,20.17
2662.94,126.29,17.91
2665.19,126.39,21.13
2667.45,126.49,19.8
2669.71,126.59,20.3
2671.97,126.69,20.18
2674.23,126.79,20
2676.48,126.89,22.91
2678.74,126.99,21.02
2681,127.09,22.31
2683.26,127.19,18.66
2683.71,127.21,19.87
2685.52,127.29,17.88
2687.77,127.39,17.74
2689.43,127.49,17.89
2691.02,127.59,18.18
2692.61,127.69,18.47
2694.2,127.79,18.22
2695.8,127.89,17.99
2697.39,127.99,18.09
2698.98,128.09,18.36
2700.57,128.19,19.08
2702.16,128.29,18.23
2703.75,128.39,17.58
2705.34,128.49,18.5
2706.93,128.59,17.71
2708.52,128.69,17.9
2708.84,128.71,17.83
2710.11,128.79,18.11
2711.7,128.89,15.05
2713.3,128.99,16.79
2714.89,129.09,17.26
2716.73,129.19,17.03
2719.17,129.29,16.7
2721.61,129.39,17.62
2724.05,129.49,17.26
2726.49,129.59,18.05
2728.93,129.69,18.16
2731.37,129.79,19.36
2733.8,129.89,19.82
2736.24,129.99,18.23
2738.68,130.09,19.45
2741.12,130.19,20.61
2741.61,130.21,21.51
2743.56,130.29,19.7
2746,130.39,20.22
2748.44,130.49,19.65
2750.88,130.59,21.37
2753.32,130.69,21.17
2755.76,130.79,21.25
2758.2,130.89,19.86
2760.63,130.99,21.12
2763.07,131.09,20.93
2765.51,131.19,20.02
2767.95,131.29,18.6
2770.39,131.39,18.22
2772.83,131.49,19.42
2775.27,131.59,20.16
2777.71,131.69,21.66
2778.2,131.71,21.88
2780.15,131.79,19.73
2785.02,131.99,22.36
2787.46,132.09,20.58
2789.9,132.19,22.4
2791.85,132.27,19.69
2794.78,132.39,17.25
2798.93,132.56,17.95
2804.05,132.77,18
2809.05,132.97,18.29
2813.89,133.16,18.32
2818.98,133.36,21.61
