1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
1700.4679999999998,81.6,71.33,-0.1488,2955.0,0.0,3.14,0.6652,868.46,41.8,199.84,0.0,0.0,0.0,43.64,911.3,15.42,2955.0,0.0,0.0,0.0,0.0
1701.851,81.65,72.14,-0.0064,2958.0,0.0,3.2260000000000004,0.4087,869.02,41.82,100.34,0.0,0.0,0.0,43.66,911.75,15.89,2958.0,0.0,0.0,0.0,0.0
1703.234,81.7,72.59,0.0722,2960.0,0.0,3.102,0.7727,870.69,41.88,100.97,0.0,0.0,0.0,43.7,912.64,15.61,2960.0,0.0,0.0,0.0,0.0
1704.6170000000002,81.75,72.29,0.018,2963.0,0.0,3.2110000000000003,0.4483,871.53,41.91,177.57,0.0,0.0,0.0,43.72,913.08,15.91,2963.0,0.0,0.0,0.0,0.0
1706.0,81.8,70.88,-0.2328,2965.0,0.0,3.2039999999999997,0.4672,872.09,41.93,138.1,0.0,0.0,0.0,43.74,913.53,16.44,2965.0,0.0,0.0,0.0,0.0
1707.0610000000001,81.85,67.81,-0.7773,2968.0,0.0,3.34,0.0631,873.2,41.97,162.82,0.0,0.0,0.0,43.76,913.98,16.42,2968.0,0.0,0.0,0.0,0.0
1708.121,81.9,64.2,-1.4174,2970.0,0.0,3.347,0.0406,873.76,41.99,197.81,0.0,0.0,0.0,43.8,914.87,16.85,2970.0,0.0,0.0,0.0,0.0
1709.182,81.95,63.5,-1.5422,2973.0,0.0,3.387,-0.0802,874.32,42.01,228.22,0.0,0.0,0.0,43.82,915.32,15.26,2973.0,0.0,0.0,0.0,0.0
1710.2420000000002,82.0,64.26,-1.4085,2975.0,0.0,3.511,-0.4479,874.88,42.03,122.01,0.0,0.0,0.0,43.84,915.76,13.83,2975.0,0.0,0.0,0.0,0.0
1711.3029999999999,82.05,63.76,-1.4978,2978.0,0.0,3.43,-0.2116,875.99,42.07,223.78,0.0,0.0,0.0,43.86,916.21,13.59,2978.0,0.0,0.0,0.0,0.0
1712.364,82.1,65.53,-1.1852,2980.0,0.0,3.4330000000000003,-0.2223,876.55,42.09,273.48,0.0,0.0,0.0,43.9,917.1,13.01,2980.0,0.0,0.0,0.0,0.0
1713.424,82.15,67.01,-0.9239,2983.0,0.0,3.2230000000000003,0.3946,877.1,42.11,216.03,0.0,0.0,0.0,43.92,917.55,12.89,2983.0,0.0,0.0,0.0,0.0
1714.485,82.2,66.78,-0.9655,2985.0,0.0,3.1289999999999996,0.6701,877.62,42.13,247.85,0.0,0.0,0.0,43.94,917.99,12.84,2985.0,0.0,0.0,0.0,0.0
1715.545,82.25,68.48,-0.6652,2988.0,0.0,3.179,0.5198,878.29,42.16,206.59,0.0,0.0,0.0,43.96,918.44,13.12,2988.0,0.0,0.0,0.0,0.0
1716.606,82.3,72.35,0.0193,2990.0,0.0,3.217,0.4058,878.74,42.18,254.1,0.0,0.0,0.0,44.0,919.33,12.5,2990.0,0.0,0.0,0.0,0.0
1717.6670000000001,82.35,76.43,0.7411,2993.0,0.0,3.258,0.2821,879.18,42.2,263.89,0.0,0.0,0.0,44.02,919.78,12.69,2993.0,0.0,0.0,0.0,0.0
1718.727,82.4,79.43,1.2716,2995.0,0.0,3.219,0.3954,879.63,42.22,225.82,0.0,0.0,0.0,44.04,920.22,12.76,2995.0,0.0,0.0,0.0,0.0
1719.7879999999998,82.45,79.92,1.3575,2998.0,0.0,3.3089999999999997,0.127,880.52,42.26,215.15,0.0,0.0,0.0,44.06,920.67,12.88,2998.0,0.0,0.0,0.0,0.0
1720.849,82.5,80.33,1.4293,3000.0,0.0,3.392,-0.1197,880.97,42.28,289.89,0.0,0.0,0.0,44.1,921.56,12.37,3000.0,0.0,0.0,0.0,0.0
1721.9089999999999,82.55,78.66,1.1327,3005.0,0.0,3.449,-0.2925,881.86,42.32,159.26,0.0,0.0,0.0,44.12,922.01,12.76,3005.0,0.0,0.0,0.0,0.0
