1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
0.0,0.0,57.0,-1.3683,0.0,0.0,3.228,3.1184,0.0,0.17,80.71,6.91,0.25,11.0,0.17,0.0,18.17,0.0,-0.8888866240000001,-1.393378403,-1.5299177590000002,-1.2616293570000001
0.726,0.05,55.03,-1.7177,1.0,0.0,3.228,3.1174,6.91,0.25,50.18,15.55,0.79,57.0,0.25,6.91,19.0,1.0,-0.524648974,-1.0953123820000001,-1.3306026340000001,-0.9547271890000001
1.452,0.1,58.65,-1.0772,2.0,0.0,3.179,3.2611,8.51,0.35,46.0,17.47,0.91,129.0,0.35,8.51,18.6,2.0,-0.312894011,-0.918423283,-1.228388344,-0.773884956
2.177,0.15,55.49,-1.6374,3.0,0.0,3.286,2.9445,11.39,0.53,82.42,19.71,1.05,106.0,0.53,11.39,16.37,3.0,-0.375493174,-1.005193684,-1.279251201,-0.8508248690000001
2.903,0.2,54.59,-1.7973,4.0,0.0,3.295,2.917,12.99,0.63,53.41,21.95,1.19,163.0,0.67,13.63,15.37,4.0,-0.37993736100000003,-0.9928365020000001,-1.268916788,-0.844385176
3.6289999999999996,0.25,55.4,-1.6544,5.0,0.0,3.264,3.0075,13.63,0.67,162.31,25.47,1.41,203.0,0.83,16.19,13.0,5.0,-0.402180154,-1.006533429,-1.280532505,-0.860090907
4.355,0.3,55.46,-1.6444,6.0,0.0,3.333,2.803,14.27,0.71,90.02,26.75,1.49,146.0,0.91,17.47,12.28,6.0,-0.385050136,-0.992674197,-1.2953935859999999,-0.84856454
5.081,0.35,55.59,-1.6219,7.0,0.0,3.367,2.7018,15.55,0.79,159.59,29.95,1.69,292.0,1.05,19.71,11.21,7.0,-0.320939876,-0.9107020840000001,-1.247909595,-0.774298955
5.806,0.4,56.27,-1.5021,8.0,0.0,3.42,2.5445,16.19,0.83,158.03,34.43,1.97,260.0,1.19,21.95,13.6,8.0,-0.5040857089999999,-1.041021392,-1.344960775,-0.918140492
6.532,0.45,57.41,-1.3007,9.0,0.0,3.385,2.6468,16.83,0.87,105.75,40.19,2.33,103.0,1.41,25.47,12.3,9.0,-0.9415724040000001,-1.318180905,-1.5217092769999998,-1.23262883
7.257999999999999,0.5,54.67,-1.7865,10.0,0.0,3.523,2.2387,17.47,0.91,249.96,45.63,2.67,34.0,1.49,26.75,12.3,10.0,-0.71061374,-1.095242716,-1.3289276490000002,-1.008937103
7.984,0.55,58.71,-1.0716,11.0,0.0,3.597,2.0194,18.75,0.99,205.33,47.87,2.81,59.0,1.59,28.35,11.81,11.0,-0.569123744,-0.902877733,-1.12696805,-0.831966386
8.71,0.6,51.56,-2.3384,12.0,0.0,3.924,1.0536,19.71,1.05,239.01,49.47,2.91,30.0,1.79,31.55,12.91,12.0,-0.478302149,-0.597963059,-0.812246072,-0.5890778010000001
9.435,0.65,55.27,-1.682,13.0,0.0,4.055,0.6662,20.67,1.11,260.39,55.22,3.27,99.0,1.83,32.19,12.84,13.0,-0.7384542590000001,-0.780410816,-0.9053880040000001,-0.784093695
10.161,0.7,56.38,-1.4859,14.0,0.0,4.281000000000001,-0.0016,21.95,1.19,244.62,59.31,3.51,106.0,1.93,33.79,14.02,14.0,-1.039354544,-1.0870112159999998,-1.238789029,-1.093503892
10.887,0.75,57.8,-1.235,15.0,0.0,4.502,-0.6546,22.91,1.25,234.07,64.09,3.79,131.0,2.11,36.67,13.62,15.0,-1.03363604,-1.112478247,-1.259210641,-1.111270531
11.613,0.8,60.02,-0.8424,16.0,0.0,4.747,-1.3785,23.87,1.31,324.33,65.8,3.89,87.0,2.21,38.27,15.04,16.0,-1.028628099,-1.145776493,-1.270574041,-1.13112165
12.339,0.85,58.92,-1.0378,17.0,0.0,4.881,-1.7748,24.19,1.33,310.26,70.62,4.13,74.0,2.25,38.91,15.6,17.0,-0.430645861,-0.9820474020000001,-0.7929889370000001,-0.798360437
13.065,0.9,54.4,-1.8389,18.0,0.0,5.024,-2.1977,24.51,1.35,333.29,74.46,4.31,26.0,2.43,41.79,15.67,18.0,-0.9824391990000001,-1.089472623,-1.245292095,-1.0804062
13.79,0.95,53.6,-1.9811,19.0,0.0,4.956,-1.9979,25.47,1.41,323.83,81.41,4.61,42.0,2.55,43.71,15.4,19.0,-1.077967359,-1.172347697,-1.299674458,-1.163675087
14.515999999999998,1.0,54.52,-1.8187,20.0,0.0,4.992,-2.1051,26.11,1.45,158.71,96.08,5.16,31.0,2.67,45.63,15.87,20.0,-1.142293761,-1.231365506,-1.332783941,-1.2213455340000001
15.242,1.05,53.16,-2.0602,21.0,0.0,4.9,-1.8345,26.75,1.49,448.16,108.34,5.62,39.0,2.71,46.27,14.81,21.0,-1.106907137,-1.218998595,-1.3412901640000001,-1.207829161
15.968,1.1,55.01,-1.7331,22.0,0.0,4.894,-1.8177,28.35,1.59,275.69,109.67,5.67,44.0,2.73,46.59,15.53,22.0,-1.042643088,-1.134876215,-1.243524288,-1.124575657
16.694000000000003,1.15,54.56,-1.8133,23.0,0.0,4.859,-1.7154,29.95,1.69,343.16,111.27,5.73,67.0,2.77,47.23,15.8,23.0,-1.022603253,-1.1148372229999999,-1.24195168,-1.106884307
17.419,1.2,54.28,-1.8635,24.0,0.0,4.811,-1.5747,31.55,1.79,458.04,119.01,6.02,26.0,2.85,48.51,16.13,24.0,-0.882522038,-1.016218325,-1.067638041,-0.985974751
18.191,1.25,51.53,-2.3511,25.0,0.0,4.794,-1.5254,32.19,1.83,273.6,123.54,6.19,36.0,2.91,49.47,14.99,25.0,-1.112769562,-1.2108112229999999,-1.246588623,-1.19079927
19.148,1.3,51.26,-2.3997,26.0,0.0,4.692,-1.2254,32.83,1.87,451.25,126.21,6.29,41.0,3.01,51.06,16.45,26.0,-0.946851985,-1.083609171,-1.195182125,-1.0621926940000002
20.104,1.35,52.23,-2.2286,27.0,0.0,4.749,-1.3945,33.15,1.89,167.45,135.0,6.62,139.0,3.09,52.34,16.34,27.0,-0.961591214,-1.0801310929999999,-1.150776322,-1.0569766040000002
21.061,1.4,52.27,-2.2223,28.0,0.0,4.753,-1.4072,33.79,1.93,301.77,139.86,6.83,82.0,3.19,53.94,16.0,28.0,-0.952843769,-1.079479695,-1.119925786,-1.052031151
22.017,1.45,51.5,-2.3594,29.0,0.0,4.731,-1.3432,34.43,1.97,402.3,144.13,7.03,165.0,3.27,55.22,16.14,29.0,-0.934022267,-1.07305048,-1.0737912520000001,-1.038728987
22.974,1.5,52.01,-2.2698,30.0,0.0,4.602,-0.9635,35.39,2.03,267.19,150.74,7.34,124.0,3.35,56.58,15.23,30.0,-0.775945267,-0.901464101,-0.9261556440000001,-0.871548795
23.93,1.55,55.13,-1.718,31.0,0.0,4.641,-1.0795,36.67,2.11,262.76,155.22,7.55,79.0,3.39,57.26,15.56,31.0,-0.709947467,-0.8280207470000001,-0.882487175,-0.801930259
24.886999999999997,1.6,55.17,-1.7117,32.0,0.0,4.599,-0.9565,38.27,2.21,216.58,159.48,7.75,138.0,3.45,58.29,13.35,32.0,-0.7444415040000001,-0.872479947,-0.940813535,-0.845664559
25.843000000000004,1.65,54.32,-1.8629,33.0,0.0,4.579,-0.8984,38.59,2.23,127.2,163.54,7.94,161.0,3.51,59.31,12.83,33.0,-0.739427664,-0.85901628,-0.915804132,-0.8328549559999999
26.8,1.7,54.1,-1.9026,34.0,0.0,4.586,-0.9199,38.91,2.25,163.26,170.57,8.27,75.0,3.57,60.34,13.34,34.0,-0.675610037,-0.7903125540000001,-0.8451422690000001,-0.76365843
27.756999999999998,1.75,54.52,-1.829,35.0,0.0,4.539,-0.7822,40.19,2.33,195.38,181.0,8.7,59.0,3.61,61.02,11.99,35.0,-0.593759367,-0.6960965459999999,-0.7744617659999999,-0.6749337390000001
28.713,1.8,55.3,-1.6916,36.0,0.0,4.454,-0.5323,41.79,2.43,193.28,188.2,8.97,118.0,3.67,62.04,11.89,36.0,-0.58698789,-0.6771862340000001,-0.76302269,-0.6600337820000001
29.67,1.85,57.35,-1.3293,37.0,0.0,4.456,-0.5391,43.71,2.55,84.29,193.81,9.17,107.0,3.79,64.09,12.72,37.0,-0.548182674,-0.649152201,-0.753862375,-0.6333767260000001
30.625999999999998,1.9,57.26,-1.346,38.0,0.0,4.414,-0.4161,45.63,2.67,185.29,199.21,9.36,33.0,3.89,65.8,14.51,38.0,-0.53721458,-0.6463052029999999,-0.745026348,-0.6275705229999999
31.583000000000002,1.95,57.43,-1.3166,39.0,0.0,4.555,-0.8331,45.95,2.69,155.57,202.2,9.46,28.0,3.99,67.63,15.65,39.0,-0.363571821,-0.441566542,-0.565255571,-0.43410342
32.539,2.0,57.73,-1.2642,40.0,0.0,4.548,-0.8133,46.27,2.71,189.08,212.49,9.76,37.0,4.09,69.77,16.21,40.0,-0.333496398,-0.437488428,-0.5543619120000001,-0.42280736700000005
33.496,2.05,58.19,-1.1835,41.0,0.0,4.513999999999999,-0.7139,46.59,2.73,125.59,224.99,10.07,118.0,4.13,70.62,14.75,41.0,-0.300312848,-0.38296277100000004,-0.5183579420000001,-0.37557266100000003
34.452,2.1,58.78,-1.0797,42.0,0.0,4.504,-0.6853,46.91,2.75,106.14,233.17,10.3,60.0,4.23,72.75,15.6,42.0,-0.308748811,-0.359200929,-0.470240128,-0.356216162
35.409,2.15,58.14,-1.1938,43.0,0.0,4.463,-0.5653,47.23,2.77,100.4,242.4,10.58,46.0,4.31,74.46,16.96,43.0,-0.175009868,-0.21325030600000003,-0.37737877299999995,-0.22010280899999998
36.365,2.2,58.83,-1.0724,44.0,0.0,4.478,-0.6104,47.55,2.79,60.58,249.76,10.83,65.0,4.35,75.31,16.36,44.0,-0.19778682399999997,-0.261464869,-0.42120343200000004,-0.26225667
37.321999999999996,2.25,58.32,-1.1634,45.0,0.0,4.329,-0.1717,47.87,2.81,106.74,253.46,10.96,69.0,4.41,76.59,16.22,45.0,-0.267761545,-0.321990714,-0.462294535,-0.322047999
38.278,2.3,57.77,-1.2616,46.0,0.0,4.363,-0.2729,48.51,2.85,74.94,258.86,11.18,197.0,4.49,78.3,16.46,46.0,-0.23067068300000002,-0.287625796,-0.450110468,-0.290390811
39.235,2.35,61.34,-0.6301,47.0,0.0,4.381,-0.327,49.47,2.91,132.8,262.51,11.39,63.0,4.55,79.81,17.59,47.0,-0.30978468800000003,-0.361819976,-0.514407453,-0.36507725799999996
40.191,2.4,61.31,-0.6361,48.0,0.0,4.445,-0.5167,51.06,3.01,106.46,265.41,11.56,76.0,4.61,81.41,15.64,48.0,-0.087368536,-0.160020792,-0.203741824,-0.14255958800000001
41.148,2.45,61.96,-0.5218,49.0,0.0,4.462,-0.5678,52.34,3.09,106.21,271.21,11.9,110.0,4.7,83.81,16.83,49.0,0.0,0.0,0.0,0.0
42.104,2.5,61.99,-0.5172,50.0,0.0,4.343,-0.2176,53.94,3.19,211.17,275.99,12.18,257.0,4.82,87.01,17.81,50.0,0.0,0.0,0.0,0.0
43.06100000000001,2.55,61.56,-0.5941,51.0,0.0,4.334,-0.192,55.22,3.27,154.2,279.4,12.38,100.0,4.93,89.94,15.65,51.0,0.30487596,0.276015492,0.10484479699999999,0.266926899
44.016999999999996,2.6,62.09,-0.501,52.0,0.0,4.309,-0.1191,56.58,3.35,180.07,287.93,12.88,12.0,5.05,93.14,17.63,52.0,0.242545449,0.20367078100000002,0.060320939000000004,0.20193961300000002
44.974,2.65,61.62,-0.5849,53.0,0.0,4.436,-0.4948,56.92,3.37,171.89,291.35,13.08,68.0,5.16,96.08,19.89,53.0,0.220215374,0.166323935,0.036002118,0.17115363100000003
45.93,2.7,61.25,-0.6512,54.0,0.0,4.376,-0.3187,57.26,3.39,228.9,295.34,13.3,61.0,5.28,99.28,18.01,54.0,0.037477389,-0.019404686,-0.165129741,-0.017840983
46.887,2.75,61.19,-0.6626,55.0,0.0,4.3069999999999995,-0.116,57.61,3.41,184.21,299.6,13.5,67.0,5.4,102.48,15.96,55.0,-0.146963591,-0.20847500600000002,-0.36150591,-0.208272922
47.843,2.8,63.29,-0.2914,56.0,0.0,4.354,-0.2556,58.29,3.45,97.09,301.74,13.6,78.0,5.5,105.14,17.11,56.0,-0.143266762,-0.22998554300000001,-0.380772251,-0.22424488
48.8,2.85,63.72,-0.216,57.0,0.0,4.427,-0.4719,58.63,3.47,133.04,306.78,13.8,167.0,5.54,106.21,14.89,57.0,-0.127742935,-0.216057563,-0.368880864,-0.210320288
49.757,2.9,61.67,-0.5798,58.0,0.0,4.489,-0.6558,58.97,3.49,262.77,314.78,14.1,29.0,5.6,107.81,16.04,58.0,-0.274353839,-0.359025692,-0.5065333710000001,-0.353713592
50.713,2.95,65.23,0.05,59.0,0.0,4.427,-0.4737,59.31,3.51,210.47,324.42,14.46,23.0,5.64,108.88,16.52,59.0,-0.505452986,-0.608200944,-0.73533198,-0.596296932
51.67,3.0,65.34,0.0687,60.0,0.0,4.599,-0.9822,59.65,3.53,215.77,328.77,14.62,35.0,5.69,110.21,16.34,60.0,-0.625261065,-0.73628162,-0.8850765820000001,-0.7236241640000001
52.626000000000005,3.05,66.4,0.2557,61.0,0.0,4.513,-0.7293,59.99,3.55,234.48,331.0,14.7,66.0,5.75,111.81,16.51,61.0,-0.5671509060000001,-0.662520833,-0.833979797,-0.656239819
53.583,3.1,66.12,0.2053,62.0,0.0,4.604,-0.9988,60.34,3.57,242.58,335.46,14.86,207.0,5.79,112.87,15.87,62.0,-0.9460221320000001,-1.0347342290000001,-1.037908877,-1.01349615
54.538999999999994,3.15,63.82,-0.2027,63.0,0.0,4.531000000000001,-0.7843,60.68,3.59,246.76,339.2,15.0,269.0,5.84,114.21,15.73,63.0,-0.813704179,-0.941058414,-0.95506513,-0.909645444
55.496,3.2,63.34,-0.2885,64.0,0.0,4.357,-0.2718,61.02,3.61,238.01,341.43,15.1,195.0,5.88,115.27,16.28,64.0,-0.6784697,-0.821622677,-0.866823736,-0.78814879
56.452,3.25,63.65,-0.2343,65.0,0.0,4.481,-0.6386,61.36,3.63,241.56,344.08,15.22,345.0,5.96,117.41,17.57,65.0,-0.762242964,-0.8888571809999999,-0.8875642579999999,-0.854588424
57.409,3.3,62.89,-0.3697,66.0,0.0,4.567,-0.8933,61.7,3.65,249.32,347.8,15.4,143.0,6.06,120.07,17.48,66.0,-0.842174213,-0.955392479,-0.895442926,-0.918838477
58.365,3.35,60.89,-0.7246,67.0,0.0,4.439,-0.5165,62.04,3.67,206.73,350.77,15.56,115.0,6.19,123.54,18.77,67.0,-0.550525782,-0.691565964,-0.719336243,-0.6572531220000001
59.321999999999996,3.4,57.71,-1.2885,68.0,0.0,4.419,-0.4584,62.72,3.71,189.86,354.86,15.78,247.0,6.29,126.21,18.82,68.0,-0.186967379,-0.309913942,-0.434920529,-0.29165274199999996
60.278,3.45,58.0,-1.2379,69.0,0.0,4.468,-0.6039,64.09,3.79,146.01,361.92,16.16,11.0,6.39,128.87,18.2,69.0,0.025830289,-0.096023056,-0.276842617,-0.080458847
61.235,3.5,58.17,-1.2085,70.0,0.0,4.319,-0.1651,65.8,3.89,151.87,370.1,16.6,21.0,6.45,130.47,15.37,70.0,0.04898693900000001,-0.070964872,-0.285153971,-0.057424767
62.235,3.55,57.3,-1.3634,71.0,0.0,4.225,0.1113,67.63,3.99,166.85,379.8,17.11,10.0,6.52,132.34,14.77,71.0,0.09002735199999999,-0.025647173,-0.28036649,-0.017996143
63.41,3.6,56.44,-1.5166,72.0,0.0,4.215,0.1399,69.77,4.09,140.22,390.25,17.61,35.0,6.62,135.0,14.3,72.0,0.196814601,0.081568196,-0.194988546,0.08638913
64.584,3.65,58.39,-1.1722,73.0,0.0,4.229,0.0977,70.62,4.13,129.0,412.21,18.66,3.0,6.72,137.51,15.87,73.0,0.266252685,0.14229940900000002,-0.12147315199999999,0.152357941
65.759,3.7,57.14,-1.3945,74.0,0.0,4.0280000000000005,0.6898,72.75,4.23,47.77,416.6,18.87,5.0,6.83,139.86,15.64,74.0,0.23643324699999999,0.101906985,-0.2224882,0.107598575
66.934,3.75,59.1,-1.0483,75.0,0.0,3.9530000000000003,0.9102,74.46,4.31,45.39,422.24,19.14,23.0,6.93,141.99,15.98,75.0,0.743054525,0.651825911,0.386857299,0.653486937
68.108,3.8,63.48,-0.2735,76.0,0.0,4.064,0.5818,74.88,4.33,58.33,427.89,19.41,33.0,6.95,142.42,16.2,76.0,0.8273633979999999,0.718872515,0.46024067399999996,0.727273044
69.283,3.85,65.39,0.0639,77.0,0.0,4.077,0.5425,75.31,4.35,52.34,429.56,19.49,130.0,7.03,144.13,15.84,77.0,0.952204956,0.849682018,0.611738448,0.858846442
70.458,3.9,64.93,-0.0185,78.0,0.0,4.055,0.6065,76.59,4.41,37.6,435.0,19.75,161.0,7.13,146.26,15.13,78.0,0.8713059999999999,0.844464882,0.7083556329999999,0.841253362
71.633,3.95,63.3,-0.3081,79.0,0.0,4.051,0.6174,77.44,4.45,49.61,442.11,20.09,111.0,7.24,148.6,14.71,79.0,0.613999642,0.6613142129999999,0.666990674,0.6504317620000001
72.807,4.0,67.07,0.3587,80.0,0.0,3.9010000000000002,1.0591,77.44,4.45,48.02,447.54,20.35,81.0,7.34,150.74,14.75,80.0,0.647429176,0.649455705,0.69740594,0.6578667970000001
73.982,4.05,68.64,0.6358,81.0,0.0,3.824,1.2854,77.87,4.47,58.95,450.89,20.51,22.0,7.44,152.87,15.91,81.0,1.202720702,1.153088805,1.045274314,1.162059811
75.157,4.1,69.38,0.766,82.0,0.0,3.802,1.3494,78.3,4.49,33.19,455.49,20.73,81.0,7.55,155.22,13.39,82.0,0.566466157,0.5422382370000001,0.501581628,0.548507627
76.331,4.15,69.21,0.7349,83.0,0.0,3.8280000000000003,1.2717,78.75,4.51,58.03,459.26,20.91,39.0,7.65,157.35,13.27,83.0,0.537172075,0.474789384,0.45336287799999997,0.49396082399999997
77.506,4.2,71.06,1.0617,84.0,0.0,3.823,1.2856,79.28,4.53,61.38,464.69,21.17,33.0,7.75,159.48,14.5,84.0,0.917983958,0.815538257,0.733289007,0.8395607429999999
78.681,4.25,72.29,1.2786,85.0,0.0,3.9530000000000003,0.901,79.81,4.55,44.94,465.74,21.22,31.0,7.86,161.83,14.32,85.0,1.226425461,1.105032168,0.9693801999999999,1.1286674429999999
79.855,4.3,72.8,1.368,86.0,0.0,4.059,0.5874,81.41,4.61,106.39,467.62,21.31,31.0,7.94,163.54,15.17,86.0,1.227243007,1.103722482,0.9711012290000001,1.128352467
81.03,4.35,73.42,1.4769,87.0,0.0,4.18,0.2294,83.81,4.7,37.11,469.5,21.4,57.0,8.02,165.24,15.58,87.0,1.139570808,1.019305627,0.8816110340000001,1.041506687
82.205,4.4,72.41,1.2971,88.0,0.0,4.107,0.4439,87.01,4.82,27.98,475.46,21.7,28.0,8.1,166.95,15.96,88.0,1.02661886,0.907493538,0.763562568,0.928559604
83.38,4.45,71.92,1.2094,89.0,0.0,4.077,0.5315,89.94,4.93,34.88,478.73,21.88,77.0,8.19,168.87,15.69,89.0,0.9105101959999999,0.781865521,0.6581411970000001,0.807392463
84.554,4.5,71.34,1.1058,90.0,0.0,4.061,0.5778,93.14,5.05,25.93,482.08,22.08,11.0,8.27,170.57,15.64,90.0,0.784480173,0.647273132,0.480914943,0.672624615
85.729,4.55,69.43,0.7666,91.0,0.0,4.008,0.7332,96.08,5.16,120.86,492.78,22.72,3.0,8.35,172.28,15.5,91.0,0.7585305590000001,0.612721499,0.409547823,0.638322294
86.904,4.6,67.25,0.3796,92.0,0.0,4.005,0.7412,99.28,5.28,40.02,506.43,23.68,16.0,8.44,174.2,14.71,92.0,0.858530479,0.715343177,0.511751127,0.739731916
88.07799999999999,4.65,68.6,0.6178,93.0,0.0,3.904,1.0383,102.48,5.4,37.56,509.78,23.98,15.0,8.56,177.26,14.42,93.0,0.9249061470000001,0.792082093,0.599187179,0.813198182
89.25299999999999,4.7,71.89,1.1996,94.0,0.0,3.806,1.3265,105.14,5.5,36.05,512.46,24.22,15.0,8.66,179.93,14.15,94.0,0.632415901,0.47682079,0.25191457100000003,0.503111459
90.428,4.75,76.19,1.9602,95.0,0.0,3.802,1.3374,105.68,5.52,55.55,521.38,25.02,6.0,8.76,182.6,14.67,95.0,0.627845245,0.48285425299999996,0.236262621,0.502926676
91.602,4.8,77.1,2.1204,96.0,0.0,3.752,1.484,106.21,5.54,118.77,527.18,25.54,12.0,8.86,185.26,14.32,96.0,0.0,0.0,0.0,0.0
92.777,4.85,77.14,2.1266,97.0,0.0,3.832,1.2471,106.74,5.56,88.94,532.53,26.02,11.0,8.93,187.13,15.11,97.0,0.0,0.0,0.0,0.0
93.95200000000001,4.9,77.27,2.1487,98.0,0.0,3.9,1.0455,107.28,5.58,75.23,534.54,26.2,50.0,9.01,189.26,14.58,98.0,0.0,0.0,0.0,0.0
95.126,4.95,75.22,1.7848,99.0,0.0,3.781,1.3957,107.81,5.6,107.82,535.32,26.27,97.0,9.07,190.97,16.7,99.0,0.0,0.0,0.0,0.0
96.301,5.0,76.71,2.0477,100.0,0.0,3.807,1.3181,108.34,5.62,59.29,536.99,26.42,44.0,9.17,193.81,16.58,100.0,0.0,0.0,0.0,0.0
97.476,5.05,76.1,1.9388,101.0,0.0,3.915,0.9985,108.88,5.64,100.42,540.27,26.65,29.0,9.26,196.37,15.73,101.0,0.0,0.0,0.0,0.0
98.65100000000001,5.1,76.05,1.929,102.0,0.0,3.8560000000000003,1.1717,109.41,5.66,107.2,543.15,26.82,35.0,9.36,199.21,16.23,102.0,0.0,0.0,0.0,0.0
99.825,5.15,76.54,2.0149,103.0,0.0,3.8760000000000003,1.1117,109.67,5.67,103.78,550.0,27.16,68.0,9.46,202.2,17.56,103.0,0.0,0.0,0.0,0.0
101.0,5.2,76.3,1.9715,104.0,0.0,3.9210000000000003,0.978,110.21,5.69,117.89,556.07,27.45,17.0,9.56,205.39,15.9,104.0,0.0,0.0,0.0,0.0
102.175,5.25,75.16,1.7687,105.0,0.0,3.8489999999999998,1.1896,110.74,5.71,163.78,556.48,27.47,27.0,9.66,208.59,16.41,105.0,0.0,0.0,0.0,0.0
103.34899999999999,5.3,75.1,1.7571,106.0,0.0,4.003,0.7342,111.27,5.73,115.13,560.46,27.66,80.0,9.76,212.49,18.94,106.0,0.0,0.0,0.0,0.0
104.524,5.35,74.89,1.719,107.0,0.0,4.044,0.6123,111.81,5.75,100.83,565.89,27.92,37.0,9.87,217.19,17.88,107.0,0.0,0.0,0.0,0.0
105.699,5.4,74.07,1.5729,108.0,0.0,4.112,0.4108,112.34,5.77,114.67,573.63,28.29,5.0,9.97,221.43,14.96,108.0,0.0,0.0,0.0,0.0
106.87299999999999,5.45,73.2,1.4179,109.0,0.0,4.122,0.3803,112.87,5.79,60.45,580.95,28.64,32.0,10.07,224.99,14.66,109.0,0.0,0.0,0.0,0.0
108.04799999999999,5.5,71.89,1.185,110.0,0.0,4.038,0.6273,113.67,5.82,54.34,589.76,29.1,38.0,10.17,228.54,15.21,110.0,0.0,0.0,0.0,0.0
109.223,5.55,69.23,0.713,111.0,0.0,4.025,0.6647,114.21,5.84,88.47,594.96,29.38,16.0,10.28,232.46,16.35,111.0,0.0,0.0,0.0,0.0
110.398,5.6,71.42,1.0999,112.0,0.0,4.027,0.6579,114.74,5.86,38.56,600.73,29.69,21.0,10.3,233.17,17.13,112.0,0.0,0.0,0.0,0.0
111.572,5.65,71.11,1.0441,113.0,0.0,3.935,0.9285,115.27,5.88,53.48,605.37,29.94,9.0,10.38,236.0,17.12,113.0,0.0,0.0,0.0,0.0
112.74700000000001,5.7,68.97,0.6642,114.0,0.0,3.813,1.2875,115.81,5.9,164.6,610.77,30.2,7.0,10.48,239.2,17.35,114.0,0.0,0.0,0.0,0.0
113.92200000000001,5.75,66.95,0.3056,115.0,0.0,3.7089999999999996,1.5935,116.34,5.92,91.85,616.97,30.46,21.0,10.54,241.12,16.89,115.0,0.0,0.0,0.0,0.0
115.096,5.8,68.32,0.5473,116.0,0.0,3.5780000000000003,1.9791,116.87,5.94,60.6,630.8,30.87,81.0,10.58,242.4,14.81,116.0,0.0,0.0,0.0,0.0
116.271,5.85,69.51,0.7571,117.0,0.0,3.5389999999999997,2.0933,117.41,5.96,42.3,634.0,30.98,110.0,10.64,244.32,12.96,117.0,0.0,0.0,0.0,0.0
117.446,5.9,72.76,1.3318,118.0,0.0,3.443,2.3756,117.94,5.98,51.64,634.56,31.0,101.0,10.68,245.49,13.46,118.0,0.0,0.0,0.0,0.0
118.62,5.95,75.17,1.7577,119.0,0.0,3.298,2.8026,118.47,6.0,48.33,635.95,31.05,78.0,10.83,249.76,14.35,119.0,0.0,0.0,0.0,0.0
119.795,6.0,75.63,1.8382,120.0,0.0,3.273,2.8754,119.01,6.02,46.94,640.98,31.27,85.0,10.87,250.9,15.11,120.0,0.0,0.0,0.0,0.0
120.97,6.05,76.03,1.9082,121.0,0.0,3.2560000000000002,2.9247,120.07,6.06,34.75,644.32,31.42,86.0,10.96,253.46,15.9,121.0,0.0,0.0,0.0,0.0
122.145,6.1,72.02,1.1971,122.0,0.0,3.182,3.1421,123.54,6.19,50.26,647.67,31.57,73.0,11.06,256.3,14.22,122.0,0.0,0.0,0.0,0.0
123.319,6.15,75.18,1.7558,123.0,0.0,3.1010000000000004,3.3802,126.21,6.29,50.67,650.57,31.7,106.0,11.18,258.86,15.38,123.0,0.738328372,0.606105793,0.38405761299999996,0.62503676
124.494,6.2,72.32,1.2484,124.0,0.0,3.272,2.8747,128.87,6.39,65.25,654.41,31.88,142.0,11.39,262.51,15.21,124.0,0.9433191240000001,0.831464854,0.611795254,0.8450459709999999
125.669,6.25,74.09,1.5609,125.0,0.0,3.141,3.2603,130.47,6.45,210.52,657.32,32.03,105.0,11.56,265.41,15.23,125.0,1.13392335,1.068642852,0.8663580940000001,1.0704339859999998
126.84299999999999,6.3,72.46,1.2714,126.0,0.0,3.157,3.2122,132.34,6.52,218.65,659.55,32.15,75.0,11.76,268.82,14.42,126.0,1.208025805,1.184080981,0.9969129379999999,1.174970227
128.018,6.35,69.81,0.8011,127.0,0.0,3.3710000000000004,2.5798,135.0,6.62,132.83,665.13,32.45,133.0,11.86,270.53,12.93,127.0,1.247456445,1.216351297,1.026587319,1.209316834
129.19299999999998,6.4,64.35,-0.1667,128.0,0.0,3.714,1.5668,137.51,6.72,106.97,675.16,32.99,89.0,12.06,273.94,12.55,128.0,1.387986145,1.320549151,1.166812042,1.3293258
130.36700000000002,6.45,61.57,-0.66,129.0,0.0,3.903,1.0082,139.86,6.83,139.42,675.91,33.03,70.0,12.18,275.99,12.99,129.0,1.308825552,1.229782336,1.090074554,1.243534328
131.542,6.5,59.81,-0.9726,130.0,0.0,3.673,1.6859,141.99,6.93,185.67,679.63,33.23,66.0,12.38,279.4,15.05,130.0,1.338757263,1.256588656,1.1407714070000001,1.275330103
132.717,6.55,59.65,-1.0018,131.0,0.0,3.8080000000000003,1.2867,142.42,6.95,305.35,684.46,33.49,22.0,12.48,281.11,16.26,131.0,1.3825598959999998,1.297462626,1.197231089,1.3196646459999999
133.892,6.6,60.14,-0.916,132.0,0.0,4.204,0.1173,144.13,7.03,173.58,685.95,33.57,57.0,12.68,284.52,16.59,132.0,1.401558394,1.309335027,1.1996600640000001,1.3306107409999999
